Reference,Kikuyu,English
Acts 1:1,"Thĩinĩ wa ibuku rĩakwa rĩa mbere, wee Theofilo-rĩ, nĩndakwandĩkĩire maũndũ mothe marĩa Jesũ aambĩrĩirie gwĩka na kũrutana","The first book I wrote, Theophilus, concerned all that Jesus began both to do and to teach,"
Acts 1:2,nginya mũthenya ũrĩa oirwo agĩtwarwo igũrũ thuutha wa kũhe atũmwo arĩa aathuurĩte mawatho na ũndũ wa Roho Mũtheru.,"until the day in which he was received up, after he had given commandment through the Holy Spirit to the apostles whom he had chosen."
Acts 1:3,"Thuutha wa kũnyariirĩka gwake, akĩĩonania kũrĩ andũ acio na akĩheana imenyithia nyingĩ cia kuonania atĩ aarĩ muoyo. Nĩamoimĩrĩire ihinda rĩa mĩthenya mĩrongo ĩna, na akĩaria ũhoro ũkoniĩ ũthamaki wa Ngai.","To these he also showed himself alive after he suffered, by many proofs, appearing to them over a period of forty days and speaking about God’s Kingdom."
Acts 1:4,"Hĩndĩ ĩmwe, rĩrĩa aarĩĩanagĩra nao, nĩamathire, akĩmeera atĩrĩ: “Mũtikoime Jerusalemu, no etererai kĩheo kĩrĩa Ithe witũ eeranĩire, o kĩrĩa inyuĩ mwanaigua ngĩaria ũhoro wakĩo.","Being assembled together with them, he commanded them, “Don’t depart from Jerusalem, but wait for the promise of the Father, which you heard from me."
Acts 1:5,"Nĩgũkorwo Johana aabatithanagia na maaĩ, no inyuĩ mũrĩbatithio na Roho Mũtheru mĩthenya mĩingĩ ĩtaanathira.”","For John indeed baptized in water, but you will be baptized in the Holy Spirit not many days from now.”"
Acts 1:6,"Nĩ ũndũ ũcio rĩrĩa maagomanire hamwe makĩmũũria atĩrĩ, “Mwathani, ihinda rĩĩrĩ nĩrĩo ũgũcookeria andũ a Isiraeli ũthamaki wao?”","Therefore, when they had come together, they asked him, “Lord, are you now restoring the kingdom to Israel?”"
Acts 1:7,Nake akĩmeera atĩrĩ: “Ti ũhoro wanyu kũmenya ciathĩ o na kana mahinda marĩa Ithe witũ atuĩte na ũhoti wake mwene.,"He said to them, “It isn’t for you to know times or seasons which the Father has set within his own authority."
Acts 1:8,"No nĩmũrĩheo hinya rĩrĩa Roho Mũtheru arĩũka igũrũ rĩanyu; na inyuĩ nĩmũgatuĩka aira akwa thĩinĩ wa Jerusalemu, na Judea guothe, na Samaria, na nginya ituri ciothe cia thĩ.”","But you will receive power when the Holy Spirit has come upon you. You will be witnesses to me in Jerusalem, in all Judea and Samaria, and to the uttermost parts of the earth.”"
Acts 1:9,"Aarĩkia kuuga ũguo, akĩoywo na igũrũ o meroreire, narĩo itu rĩkĩmũhumbĩra magĩtiga kũmuona rĩngĩ.","When he had said these things, as they were looking, he was taken up, and a cloud received him out of their sight."
Acts 1:10,"O hĩndĩ ĩyo maikarĩte macũthĩrĩirie mũno akĩambata matu-inĩ-rĩ, o rĩmwe andũ eerĩ mehumbĩte nguo njerũ makĩrũgama o hau maarĩ.","While they were looking steadfastly into the sky as he went, behold,† two men stood by them in white clothing,"
Acts 1:11,"Makĩmooria atĩrĩ, “Andũ aya a Galili,* mũrũgamĩte haha mũcũthĩrĩirie igũrũ nĩkĩ? Jesũ o ro ũcio, ũrĩa weherio harĩ inyuĩ aatwarwo igũrũ-rĩ, agaacooka o ro ũguo mwamuona agĩthiĩ.”","who also said, “You men of Galilee, why do you stand looking into the sky? This Jesus, who was received up from you into the sky, will come back in the same way as you saw him going into the sky.”"
Acts 1:12,"Hĩndĩ ĩyo magĩcooka Jerusalemu moimĩte Kĩrĩma-inĩ kĩa Mĩtamaiyũ,† mũigana wa rũgendo rũrĩa rũngĩathiirwo mũthenya wa Thabatũ kuuma itũũra inene.","Then they returned to Jerusalem from the mountain called Olivet, which is near Jerusalem, a Sabbath day’s journey away."
Acts 1:13,"Rĩrĩa maakinyire, makĩambata nyũmba ya igũrũ ĩrĩa maikaraga. Nao andũ arĩa maarĩ ho maarĩ Petero, na Johana, na Jakubu na Anderea; Filipu na Toma, na Baritholomayo na Mathayo; Jakubu mũrũ wa Alufayo, na Simoni Mũzelote, na Judasi mũrũ wa Jakubu.","When they had come in, they went up into the upper room where they were staying, that is Peter, John, James, Andrew, Philip, Thomas, Bartholomew, Matthew, James the son of Alphaeus, Simon the Zealot, and Judas the son of James."
Acts 1:14,"Othe makĩnyiitanĩra hamwe, makĩrũmanĩrĩria kũhooya, hamwe na atumia, na Mariamu nyina wa Jesũ, o na ariũ a nyina na Jesũ.","All these with one accord continued steadfastly in prayer and supplication, along with the women and Mary the mother of Jesus, and with his brothers."
