English,Kikuyu
What are the climate and soil conditions for growing mangoes in Kenya?,Nī rīera rīrīkū na tīīri ūrīkū wagīrīire wa kūhanda mīembe?
"Mango farming success will depend on you growing a type that is best fit for your farm’s altitude, soil and climate.","Urīmi mwega wa maembe ūringanaga na gūthūura mūthemba ūrīa waagīrīire itūra rīanyu, tīīri wa mūgūnda waku na rīera."
"Using Kenya’s agro-ecological zoning, there are two major mango categories;","Tūkīrora matūra ma kūrīma ma būrūri wa Kenya, mīthemba ya maembe nī īrī:"
"coastal/lowland varieties, these are fit for growing in areas of 0-800 MASL.","Mīthemba īrīa īhandagwo gīcūa-inī kan kūndū kūrīa kwaraganu, mita kuuma 0nginya 800 igūrū wa iria."
Examples are the Ngowe,Kwa mūhiano Ngowe.
"You will find their huge populations in Mombasa, Kilifi, Tana-River and Lamu areas.","Nī ūkuona mīthemba īno kwa wūingī matūra-inī ma gīcūa-inī ta Mombasa, Kilifi, Tana-River na Lamu."
mid altitude varieties.,Mīthemba ya matūra matarī irīma nene:
These do well in areas of 800-1600 metres above sea level.,Mīthemba īno yagīraga matūra-inī marīa marī mita 800 nginya 1600 igūrū wa iria.
"They are common in Embu, Meru, Muranga, Marakwet, Kitui, Machakos and Makueni.","Mahandagwo mūno Embu, Merū, Mūrang’a, Marakwet, Kitui, Machakos na Makueni."
Which varieties of mango are for low and altitudes?,Nī mīthemba īrīkū ya maembe yagīrīire kūndū kūrīa kwaraganū?
"Varieties for lowland (0-700m a.s.l) are Dodo, Ngowe, Boribo and Apple.","Mīthemba ya kūndū kūrīa kwaraganu (0 – 700m.a.s.l.) nī Dodo, Ngowe, Boribo, na Apple."
"Varieties for medium altitude areas (1500m a.s.l) are Tommy Atkins, Kent, Haden, van Dyke Sensation and Alphonso","Mīthemba ya kūndū gūtarī īrīma na heho nyingī(Medium Altitude Areas) (1500 m.a.s.l) nī Tommy Atkins, Kent, Haden van Dyke, Sensation na Alphonso."
What are the ecological requirements for growing mangoes in Kenya?,Nī maūndū marīkū mabatarainie ūrīmi-inī wa maembe?
Mangoes in Kenya grow well at an altitude below 1000 mm.,Maembe makūraga wega matūūra-inī marīa mari thī wa mita 1000 igūrū rīa iria būrūri-inī wa Kenya .
"However, other cultivars are reported to yield well at an altitude of up to 1800 mm.","Ona kūrīo ūguo, nī kūrī mīthemba īkaga wega matūūra-inī marī igūrū wa mita 1800 igūrū rīa iria."
Mango is known to yield well in a warm tropical monsoon climate.,Maembe moīkaine kūheana magetha mega kūndū kūrīa kūrī na ūrugarī.
"It needs a prolonged dry period of about three months, followed by rain.","Mendaga ihinda rīa mīeri ītatū ya riūa, gūgīcoka kuura."
"In regions that do not vary in rainfall or temperature, your trees will not produce any fruits.","Kūria mbura na ūrugarī itacenjacenjagia, mīembe ndīciaraga."
Temperature range – 15º C to 30º C,1.Ūrugarī ūceragīra 15⁰ C nginya 30⁰C.
2. Rainfall - Annual 500mm-1500mm,2.Mīembe yendaga mbura mūigana wa milimita 500 nginya 1500 o mwaka.
"3. Soils - Deep (3m) fertile, well drained and optimum pH 5.5-7.5","3. tīīri - Mūriku (mita ithatū), mūnoru na ūrūrū ūtarakīra gīthimo gīa pH 5.5 nginya 7.5"
4. Altitude- 0-1500m above sea level,4. matūūra - kuuma 0 nginya mita 1500  igūrū ria iria
What are the best growing conditions for mango?,Hihi nī maūndū marīkū magīrīire ūkūria-inī wa maembe?
Mango trees need a warm environment with a temperature ideally above 21°C (70°F) and a minimum temperature of 4°C (40°F).,Mīembe yendaga ūrugarī ūkīrīte  21⁰ C(70⁰ F) na ūtanyihīire 4⁰ C (40⁰F).
Mango trees ideally need 8 hours of sunlight per day to produce flowers and fruit.,Maembe mendaga ihinda rīa mathaa manana o mūthenya ma riūa nīguo mahote kūruta kīro na matunda.
"Place pot-grown mango trees outside in summer if possible, to give them sufficient sunlight",Mīembe īkūrīirio nyūngū-inī thīinī wa nyūmba nī yendaga kuumio nja yote riūa.
When is soil testing for mangoes recommended?,tīīri wa mūgūndwa wa mīembe wagīrīirwo gūthimwo rī?
Soil testing is recommended before planting to guide on fertilizer and manure application,Wagīrīire gūthimwo mīembe ītanahandwo nīgūo gūteithia kūmenya bataraitha na thumu ūrīa wagīrīire kūhūthīrwo.
"Which fertilizer are used to induce flowering and promote good fruit set, size and continued growth at flowering and fruiting stage?","Nī bataraitha īrīkū īteithagia mūembe kūruta kīro, gwīkira matunda na kūmatunguhia?"
Foliar fertilizer with boron and potassium,Nī bataraitha ya mathangū yongereirwo boron na potassium
Best time to apply fertilizers in mango?,Nī ihinda rīrīkū rīega rīa gwikīra bataraitha mīembe-inī?
"After about 3-6 months, start application of nitrogenous fertilizers (in case of fruit trees e.g. mango, pawpaw, oranges).","Īkīra bataraitha mīeri ītatū nginya ītandatū thutha wa kūhanda mītī ya matunda ta mīembe, mababaī na macungwa."
Apply nitrogenous fertilizers in varied intervals to avoid leaching out (downward movement of useful mineral or nutrients in water).,īkīra bataraitha ya nitrogen kwa ithimi nini ūtigithukanītie nīguo ndīkore nathī kana ona na maaī.
"Alternatively, properly prepared farm yard manure or compost, kitchen ash (left from cooking) and mulching can be
used in place of fertilizers.","Ona ningī mītī no īkīro thumu mūhīu wega, mūhu na kwarīra mūceng'i handū ha bataraitha."
Trees should be top-dressed with 250g of CAN per tree at the beginning of each rainy season after the trees attain a height of 1 m.,Nīwega kūhe mūtī wothe ūrī na ūraihu wa makīria ma mita īmwe bataraitha ya kūrūmīrīria mūthemba wa CAN mūigana wa gramu magana merī ma mīrongo ītano.
What is the soil mixture for mangoes?,Tīīri wa mīembe ūtukanagio atīa?
50% native soil: Your mango's local comfort food.,50% - tīīri; Irio cia kīūndūire cia mīembe.
25% organic compost: The secret sauce for fertility.,25% thumu wa gūthondekwo na mahuti: Hitho ya ūnoru.
