Reference,Kikuyu,English
Colossians 1:1,"Nĩ niĩ Paũlũ, mũtũmwo wa Kristũ Jesũ nĩ ũndũ wa wendo wa Ngai, tũrĩ hamwe na Timotheo mũrũ wa Ithe witũ,","Paul, an apostle of Christ† Jesus through the will of God, and Timothy our brother,"
Colossians 1:2,"Tũramũtũmĩra marũa maya inyuĩ andũ arĩa aamũre, o inyuĩ ariũ na aarĩ a Ithe witũ mũtũire mũrĩ ehokeku thĩinĩ wa Kristũ kũu Kolosai: Mũrogĩa na wega na thayũ ciumĩte kũrĩ Ngai Ithe witũ.",to the saints and faithful brothers‡ in Christ at Colossae: Grace to you and peace from God our Father and the Lord Jesus Christ.
Colossians 1:3,"Hĩndĩ ciothe rĩrĩa tũkũmũhoera, nĩtũcookagĩria Ngai ngaatho, o we Ithe wa Mwathani witũ Jesũ Kristũ,","We give thanks to God the Father of our Lord Jesus Christ, praying always for you,"
Colossians 1:4,"tondũ nĩtũiguĩte ũhoro wa ũrĩa mwĩtĩkĩtie Kristũ Jesũ, o na ũrĩa mwendete andũ arĩa othe aamũre,","having heard of your faith in Christ Jesus and of the love which you have toward all the saints,"
Colossians 1:5,"naguo nĩ wĩtĩkio na wendani iria ciumanaga na kĩĩrĩgĩrĩro kĩrĩa mũigĩirwo kũu igũrũ na kĩrĩa mũrĩkĩtie kũigua ũhoro wakĩo thĩinĩ wa ũhoro ũrĩa wa ma, na nĩguo Ũhoro-ũrĩa-Mwega","because of the hope which is laid up for you in the heavens, of which you heard before in the word of the truth of the Good News"
Colossians 1:6,"ũrĩa ũmũkinyĩire. Kũndũ guothe gũkũ thĩ Ũhoro-ũyũ-Mwega nĩũraciara maciaro na nĩũratheerema, o ta ũrĩa ũkoretwo ũgĩĩka gatagatĩ-inĩ kanyu kuuma mũthenya ũrĩa mwaũiguire na mũkĩmenya wega wa Ngai na ma.","which has come to you, even as it is in all the world and is bearing fruit and growing, as it does in you also, since the day you heard and knew the grace of God in truth,"
Colossians 1:7,"Mwamenyire ũhoro ũcio kuuma kũrĩ Epafara, ũrĩa twendete, na mũruti wĩra hamwe na ithuĩ o we mũtungatĩri wa Kristũ wa kwĩhokeka ithenya riitũ,","even as you learned from Epaphras our beloved fellow servant, who is a faithful servant of Christ on your§ behalf,"
Colossians 1:8,na nowe ũtũheete ũhoro wa ũrĩa mwendaine mũrĩ thĩinĩ wa Roho.,who also declared to us your love in the Spirit.
Colossians 1:9,"Nĩ ũndũ wa ũguo-rĩ, kuuma mũthenya ũrĩa twaiguire ũhoro ũcio wanyu, tũtirĩ twatigithĩria kũmũhoera, tũgĩthaithaga Ngai amũiyũrie ũmenyo wa wendi wake, na amũheage ũũgĩ na ũtaũku wothe maũndũ-inĩ mothe ma kĩĩroho.","For this cause, we also, since the day we heard this, don’t cease praying and making requests for you, that you may be filled with the knowledge of his will in all spiritual wisdom and understanding,"
Colossians 1:10,"Na tũhooyaga ũguo nĩguo mũhote gũtũũra mũtũũrĩre ũringaine na ũrĩa Mwathani endaga na mũmũkenagie maũndũ-inĩ mothe: mũciarage maciaro mawĩra-inĩ mothe mega marĩa mũrutaga, na mũkũrage thĩinĩ wa ũmenyi wa kũmenyana na Ngai,","that you may walk worthily of the Lord, to please him in all respects, bearing fruit in every good work and increasing in the knowledge of God,"
Colossians 1:11,"mũgĩĩkagĩrwo hinya na ũhoti wothe kũringana na hinya wake ũrĩ na riiri nĩgeetha mũhote gũkiragĩrĩria mũno mũtegũthethũka na mũrĩ na gĩkeno,","strengthened with all power, according to the might of his glory, for all endurance and perseverance with joy,"
Colossians 1:12,"na mũgĩcookagĩria Ithe witũ ngaatho, ũrĩa ũmũtuĩte aagĩrĩru a kũgaya igai rĩa arĩa aamũre ũthamaki-inĩ wa ũtheri.","giving thanks to the Father, who made us fit to be partakers of the inheritance of the saints in light,"
Colossians 1:13,"Nĩgũkorwo Ngai nĩatũhonoketie, agatũruta ũthamaki-inĩ wa nduma, na agatũthaamĩria ũthamaki-inĩ wa Mũriũ ũrĩa endete mũno,","who delivered us out of the power of darkness, and translated us into the Kingdom of the Son of his love,"
Colossians 1:14,"thĩinĩ wake-rĩ, nĩtũkũũrĩtwo na tũkarekerwo mehia maitũ.","in whom we have our redemption,† the forgiveness of our sins."
Colossians 1:15,"Ũcio nĩwe mũhianĩre wa Ngai ũrĩa ũtonekaga, na nĩwe irigithathi harĩ indo ciothe iria ciombirwo.","He is the image of the invisible God, the firstborn of all creation."
Colossians 1:16,"Nĩgũkorwo nĩwe wombire indo ciothe: indo iria irĩ igũrũ na iria irĩ thĩ, iria cionekaga na iria itonekaga, o na angĩkorwo nĩ itĩ cia ũnene kana maahinya, kana aathani o na kana arĩa marĩ ũhoti; indo ciothe ciombirwo nĩwe na nĩguo ituĩke ciake.","For by him all things were created in the heavens and on the earth, visible things and invisible things, whether thrones or dominions or principalities or powers. All things have been created through him and for him."
Colossians 1:17,"Kristũ nĩwe warĩ kuo mbere ya indo ciothe, nacio indo ciothe itũũraga inyiitithanĩtio nĩwe.","He is before all things, and in him all things are held together."
Colossians 1:18,"Ningĩ nĩwe mũtwe wa mwĩrĩ, arĩ guo kanitha; na nĩwe kĩambĩrĩria na irigithathi harĩ andũ arĩa manariũka, nĩgeetha thĩinĩ wa maũndũ mothe atuĩke nĩwe mũtũũgĩrie kũrĩ indo ciothe.","He is the head of the body, the assembly, who is the beginning, the firstborn from the dead, that in all things he might have the preeminence."
Colossians 1:19,"Nĩgũkorwo Ngai nĩoonire arĩ wega atĩ ũiyũru wa Ngai wothe ũikare thĩinĩ wake,","For all the fullness was pleased to dwell in him,"
Colossians 1:20,"na nĩ ũndũ wa Kristũ indo ciothe ituĩke cia kũiguithanio na Ngai, iria irĩ thĩ o na kana iria irĩ igũrũ, nĩ ũndũ wa ũrĩa aarehire thayũ na ũndũ wa thakame yake, ĩrĩa yaitirwo mũtharaba-inĩ.","and through him to reconcile all things to himself by him, whether things on the earth or things in the heavens, having made peace through the blood of his cross."
Colossians 1:21,Hĩndĩ ĩmwe inyuĩ mwatũire mwamũranĩtio na Ngai na mwarĩ thũ ciake meciiria-inĩ manyu nĩ ũndũ wa mĩtugo yanyu mĩũru.,"You, being in past times alienated and enemies in your mind in your evil deeds,"
Colossians 1:22,"No rĩu nĩamũiguithanĩtie na Kristũ na ũndũ wa ũrĩa aakuire arĩ na mwĩrĩ nĩgeetha amũrũgamie mbere yake mũrĩ atheru, na mũtarĩ na ũũgũ, o na mũtarĩ na ũcuuke,","yet now he has reconciled in the body of his flesh through death, to present you holy and without defect and blameless before him,"
Colossians 1:23,"mũngĩthiĩ na mbere na gwĩtĩkia mwĩhaandĩte na mũrĩ arũmu, na mũtekwenyenyeka kuuma kũrĩ kĩĩrĩgĩrĩro kĩrĩa kĩnyiitĩrĩirwo nĩ Ũhoro-ũrĩa-Mwega. Ũhoro ũcio nĩguo Ũhoro-ũrĩa- Mwega ũrĩa mwaiguire, na ũrĩa ũhunjĩtio kũrĩ ciũmbe ciothe cia gũkũ thĩ, na nĩguo niĩ Paũlũ nduĩkĩte ndungata yaguo.","if it is so that you continue in the faith, grounded and steadfast, and not moved away from the hope of the Good News which you heard, which was proclaimed in all creation under heaven, of which I, Paul, was made a servant."
Colossians 1:24,"Na rĩu nĩngenete nĩ ũndũ wa maũndũ marĩa thĩĩnĩtio namo nĩ ũndũ wanyu, na ngaiyũrĩrĩria thĩinĩ wa mwĩrĩ wakwa kĩrĩa gĩtigaire ũhoro-inĩ wa kũnyamario gwa Kristũ, ngamaiyũrĩrĩria nĩ ũndũ wa mwĩrĩ wake, na nĩguo kanitha.","Now I rejoice in my sufferings for your sake, and fill up on my part that which is lacking of the afflictions of Christ in my flesh for his body’s sake, which is the assembly,"
Colossians 1:25,"Na niĩ ndaatuirwo ndungata yaguo na ũndũ wa gũtũmwo nĩ Ngai ndĩmũrehere ũhoro wa Ngai mũũmenye kũna,","of which I was made a servant according to the stewardship of God which was given me toward you to fulfill the word of God,"
Colossians 1:26,"na nĩ guo hitho ĩrĩa ĩtũire ĩrĩ hithe kuuma o tene, njiarwa na njiarwa, no rĩu nĩũguũrĩirio arĩa aamũre.","the mystery which has been hidden for ages and generations. But now it has been revealed to his saints,"
Colossians 1:27,"O acio nĩo Ngai oonire arĩ wega kũmenyithia hitho ya ũtonga ũrĩa ũrĩ riiri kũrĩ andũ-a-Ndũrĩrĩ, nayo hitho ĩyo nĩ atĩ Kristũ arĩ thĩinĩ wanyu, o we kĩĩrĩgĩrĩro gĩa gũkaagĩa na riiri.","to whom God was pleased to make known what are the riches of the glory of this mystery among the Gentiles, which is Christ in you, the hope of glory."
Colossians 1:28,"Ũcio nĩwe tũhunjagia, tũgĩtaaranaga na tũkĩrutaga o mũndũ wothe tũrĩ na ũũgĩ wothe, nĩgeetha tũkarũgamia o mũndũ wothe aagĩrĩire kũna thĩinĩ wa Kristũ.","We proclaim him, admonishing every man and teaching every man in all wisdom, that we may present every man perfect in Christ Jesus;"
Colossians 1:29,"Nĩ ũndũ wa gĩtũmi kĩu nĩndĩĩnogagia, ngĩĩgiaga kũringana na hinya wake wothe, ũrĩa ũrutaga wĩra na hinya thĩinĩ wakwa.","for which I also labor, striving according to his working, which works in me mightily."
Colossians 2:1,"Nĩngwenda mũmenye ũrĩa ndĩĩgiaga nĩ ũndũ wanyu, na nĩ ũndũ wa andũ arĩa marĩ Laodikia, o na nĩ ũndũ wa arĩa matarĩ maanyona niĩ mwene.","For I desire to have you know how greatly I struggle for you and for those at Laodicea, and for as many as have not seen my face in the flesh;"
Colossians 2:2,"Ndĩĩgiaga ũguo nĩgeetha magĩe na ũmĩrĩru wa ngoro na magĩe na ũrũmwe mohanĩtio nĩ wendani, na nĩgeetha maingĩhĩrwo nĩ ũtonga wa kũmenya wega ũhoro wa hitho ya Ngai, na nĩyo Kristũ,","that their hearts may be comforted, they being knit together in love, and gaining all riches of the full assurance of understanding, that they may know the mystery of God, both of the Father and of Christ,"
Colossians 2:3,ũrĩa thĩinĩ wake kũhithĩtwo mĩthiithũ yothe ya ũũgĩ na ũmenyo.,in whom all the treasures of wisdom and knowledge are hidden.
Colossians 2:4,Ndĩramwĩra ũguo nĩgeetha mũndũ o na ũrĩkũ ndakanamũheenie na ngarari cia mawara.,Now I say this that no one may delude you with persuasiveness of speech.
Colossians 2:5,"Nĩgũkorwo o na ndatuĩka ndirĩ hamwe na inyuĩ thĩinĩ wa mwĩrĩ, ndĩ hamwe na inyuĩ thĩinĩ wa roho, na ngakena nĩkuona ũrĩa mũrĩ mĩbango mĩega, na ũrĩa wĩtĩkio wanyu thĩinĩ wa Kristũ ũrĩ mũrũmu.","For though I am absent in the flesh, yet I am with you in the spirit, rejoicing and seeing your order, and the steadfastness of your faith in Christ."
Colossians 2:6,"Nĩ ũndũ ũcio-rĩ, o ta ũrĩa mwamũkĩrire Kristũ Jesũ arĩ Mwathani, thiĩi na mbere gũtũũra thĩinĩ wake,","As therefore you received Christ Jesus the Lord, walk in him,"
Colossians 2:7,"mũhaandĩtwo na mũgaakwo thĩinĩ wake, na mũkĩongagĩrĩrwo hinya thĩinĩ wa wĩtĩkio o ta ũrĩa mwarutirwo, na mũkĩrĩrĩrie gũcookia ngaatho.","rooted and built up in him and established in the faith, even as you were taught, abounding in it in thanksgiving."
Colossians 2:8,"Mwĩmenyererei mũndũ o na ũrĩkũ ndakanamũtahe meciiria na maũũgĩ ma maheeni ma tũhũ, marĩa moimanaga na mĩtugo ya andũ na irĩra iria cia ndũire cia thĩ ĩno, no ti kuuma kũrĩ Kristũ.","Be careful that you don’t let anyone rob you through his philosophy and vain deceit, after the tradition of men, after the elemental spirits of the world, and not after Christ."
Colossians 2:9,"Nĩgũkorwo ũiyũru wothe wa Ũngai ũtũũraga thĩinĩ wa Kristũ arĩ na mwĩrĩ,","For in him all the fullness of the Deity dwells bodily,"
Colossians 2:10,"na inyuĩ nĩmũiyũrĩtwo nĩ muoyo thĩinĩ wa Kristũ, ũrĩa arĩ weMũneneigũrũrĩa hinya o wothe na ũhoti o wothe.","and in him you are made full, who is the head of all principality and power."
Colossians 2:11,"O na inyuĩ nĩmwaruire thĩinĩ wake, na ti na ũndũ wa moko ma andũ, no nĩ ũndũ wa kwehererio mũtũũrĩre wa mehia, kũringana na irua rĩrĩa rĩruithanagio nĩ Kristũ.","In him you were also circumcised with a circumcision not made with hands, in the putting off of the body of the sins of the flesh, in the circumcision of Christ,"
Colossians 2:12,"Nĩgũkorwo nĩgũthikwo mwathikirwo hamwe nake rĩrĩa mwabatithirio, na mũkĩriũkio hamwe nake nĩ ũndũ wa gwĩtĩkia hinya wa Ngai, ũrĩa wamũriũkirie akiuma kũrĩ arĩa akuũ.","having been buried with him in baptism, in which you were also raised with him through faith in the working of God, who raised him from the dead."
Colossians 2:13,"Hĩndĩ ĩrĩa mwakuĩte nĩ ũndũ wa mehia manyu na mũgaikara ta mũtaruĩte nĩ ũndũ wa mũtũũrĩre wanyu wa mehia-rĩ, Ngai nĩatũmire mũgĩe na muoyo hamwe na Kristũ. Ngai nĩatũrekeire mehia maitũ mothe,","You were dead through your trespasses and the uncircumcision of your flesh. He made you alive together with him, having forgiven us all our trespasses,"
Colossians 2:14,"na aarĩkia gũtharia watho ũrĩa warĩ mwandĩke hamwe na mũtabarĩre waguo, o ũcio watũthitangaga na watũire ũreganĩte na ithuĩ-rĩ; akĩweheria na ũndũ wa kũũhũrĩra mĩcumarĩ mũtharaba-inĩ.","wiping out the handwriting in ordinances which was against us. He has taken it out of the way, nailing it to the cross."
Colossians 2:15,"Thuutha wa gũtooria maahinya na monene macio-rĩ, nĩamonanirie mbere ya mũingĩ, akĩrũũhagia nĩ ũndũ wa ũrĩa aamatooretie mũtharaba-inĩ.","Having stripped the principalities and the powers, he made a show of them openly, triumphing over them in it."
Colossians 2:16,"Nĩ ũndũ ũcio mũtikanareke mũndũ o na ũrĩkũ amũtuĩre ciira nĩ ũndũ wa irio iria mũrĩĩaga, kana kĩrĩa mũnyuuaga, kana ũhoro-inĩ wa mĩthenya ĩrĩa mĩamũre, kana gũkũngũĩra Karũgamo ka Mweri, o na kana mũthenya wa Thabatũ.","Let no one therefore judge you in eating or drinking, or with respect to a feast day or a new moon or a Sabbath day,"
Colossians 2:17,"Maũndũ macio no kĩĩruru kĩa maũndũ marĩa magooka; no rĩrĩ, ma yamo-rĩ, nĩ Kristũ we mwene.",which are a shadow of the things to come; but the body is Christ’s.
Colossians 2:18,"Mũtikanareke mũndũ o na ũrĩkũ, ũrĩa wendete gwĩtua mũhooreri, na akahooyaga araika, atũme mũtunywo kĩheo kĩrĩa mũtanyĩte kuona. Mũndũ ta ũcio nĩataaragĩria na njĩra nene maũndũ marĩa onete, na mwĩciirĩrie wake ũtarĩ wa kĩĩroho ũgatũma etĩĩe nĩ ũndũ wa meciiria make ma tũhũ.","Let no one rob you of your prize by self-abasement and worshiping of the angels, dwelling in the things which he has not seen, vainly puffed up by his fleshly mind,"
Colossians 2:19,"Mũndũ ta ũcio ndegwatanĩtie na Mũtwe, ũrĩa arĩ we ũnyiitagĩrĩra mwĩrĩ wothe, akaũnyiitithania hamwe na nyunĩro ciohanĩtio na mĩkiha, naguo ũgakũra o ta ũrĩa Ngai atũmaga ũkũre.","and not holding firmly to the Head, from whom all the body, being supplied and knit together through the joints and ligaments, grows with God’s growth."
Colossians 2:20,"Atĩrĩrĩ, angĩkorwo inyuĩ nĩmwakuire hamwe na Kristũ, na mũgĩtigana na irĩra iria cia ndũire cia thĩ ĩno-rĩ, nĩ kĩĩ gĩtũmaga mwathĩkĩre mawatho mayo, ta mũtũire mũrĩ a thĩ?","If you died with Christ from the elemental spirits of the world, why, as though living in the world, do you subject yourselves to ordinances,"
Colossians 2:21,Namo nĩ ta maya: “Ndũkanyiite! Ndũgacame! Ndũkahutie!”,"“Don’t handle, nor taste, nor touch”"
Colossians 2:22,"Maũndũ macio mothe maraaria ũhoro wa indo iria ithiraga bata ciarĩkia kũhũthĩrwo, tondũ icio no irĩra na wathani na ũrutani wa andũ.","(all of which perish with use), according to the precepts and doctrines of men?"
Colossians 2:23,"Ti-itherũ, mĩtabarĩre ta ĩyo yonekaga ta ĩrĩ na ũũgĩ, nĩ ũndũ wa mĩhoere yao ĩrĩa methuurĩire, na ũhooreri wa gwĩtua, na kwĩnyerekia, no makaaga kuona bata wa kwĩgirĩrĩria merirĩria ma mwĩrĩ.","These things indeed appear like wisdom in self-imposed worship, humility, and severity to the body, but aren’t of any value against the indulgence of the flesh."
Colossians 3:1,"Na rĩrĩ, kuona atĩ rĩu nĩmũriũkĩtio hamwe na Kristũ-rĩ, ngoro cianyu nĩikĩrũmbũyagie maũndũ marĩa ma igũrũ, o kũrĩa Kristũ aikarĩte guoko-inĩ kwa ũrĩo kwa Ngai.","If then you were raised together with Christ, seek the things that are above, where Christ is, seated on the right hand of God."
Colossians 3:2,"Meciiria manyu nĩmeciiragie maũndũ marĩa ma igũrũ, no ti maũndũ marĩa ma thĩ ĩno.","Set your mind on the things that are above, not on the things that are on the earth."
Colossians 3:3,"Nĩgũkorwo nĩmwakuire, naguo muoyo wanyu rĩu nĩmũhithe hamwe na Kristũ thĩinĩ wa Ngai.","For you died, and your life is hidden with Christ in God."
