Reference,Kikuyu,English
1 Corinthians 1:1,"Nĩ niĩ Paũlũ, o niĩ ndeetirwo nduĩke mũtũmwo wa Kristũ Jesũ nĩ ũndũ wa kwenda kwa Ngai, ndĩratũma ngeithi ici tũrĩ hamwe na mũrũ wa Ithe witũ Sosithene,*","Paul, called to be an apostle of Jesus Christ† through the will of God, and our brother Sosthenes,"
1 Corinthians 1:2,"Twandĩkĩra kanitha wa Ngai ũrĩa ũrĩ Korinitho, kũrĩ arĩa othe maamũrĩtwo thĩinĩ wa Kristũ Jesũ na magetwo matuĩke andũ atheru, o hamwe na arĩa othe marĩ kũndũ guothe makayagĩra rĩĩtwa rĩa Mwathani witũ Jesũ Kristũ, o we Mwathani wao na witũ:","to the assembly of God which is at Corinth—those who are sanctified in Christ Jesus, called saints, with all who call on the name of our Lord Jesus Christ in every place, both theirs and ours:"
1 Corinthians 1:3,Wega na thayũ irogĩa kũrĩ inyuĩ ciumĩte kũrĩ Ngai Ithe witũ na Mwathani Jesũ Kristũ.,Grace to you and peace from God our Father and the Lord Jesus Christ.
1 Corinthians 1:4,"Nĩnjookagĩria Ngai ngaatho hĩndĩ ciothe nĩ ũndũ wanyu, nĩ ũndũ wa wega wake ũrĩa mũheetwo thĩinĩ wa Kristũ Jesũ.","I always thank my God concerning you for the grace of God which was given you in Christ Jesus,"
1 Corinthians 1:5,"Nĩgũkorwo thĩinĩ wake nĩmũtongetio maũndũ-inĩ mothe, mũgatongio ũhoro- inĩ wa mĩario yanyu yothe o na ũhoro-inĩ wothe wa kũmenya maũndũ,","that in everything you were enriched in him, in all speech and all knowledge—"
1 Corinthians 1:6,"tondũ-rĩ, ũira witũ ũkoniĩ Kristũ nĩwekĩrirwo hinya thĩinĩ wanyu.",even as the testimony of Christ was confirmed in you—
1 Corinthians 1:7,"Nĩ ũndũ ũcio gũtirĩ kĩheo gĩa kĩĩroho o na kĩmwe mũtarĩ nakĩo, o mũgĩetagĩrĩra na kĩyo kũguũranĩrio kwa Mwathani witũ Jesũ Kristũ.","so that you come behind in no gift, waiting for the revelation of our Lord Jesus Christ,"
1 Corinthians 1:8,"Nake nĩarĩmũikaragia mũrĩ na hinya nginya mũthia, nĩguo mũtikanakorwo mũrĩ na ũcuuke mũthenya ũrĩa wa Mwathani witũ Jesũ Kristũ.","who will also confirm you until the end, blameless in the day of our Lord Jesus Christ."
1 Corinthians 1:9,"Ngai nĩ mwĩhokeku, o we ũrĩa wamwĩtire nĩguo mũkorwo na ngwatanĩro na Mũriũ Jesũ Kristũ, Mwathani witũ.","God is faithful, through whom you were called into the fellowship of his Son, Jesus Christ our Lord."
1 Corinthians 1:10,"Atĩrĩrĩ, inyuĩ ariũ na aarĩ a Ithe witũ, ndamũthaitha thĩinĩ wa rĩĩtwa rĩa Mwathani witũ Jesũ Kristũ, atĩ inyuothe mũiguane o mũndũ na ũrĩa ũngĩ, nĩguo mũtikagĩe na nyamũkano gatagatĩ-inĩ kanyu, no mũikare mũiguanĩte, na mũrĩ na meciiria o mamwe, na ngoro o ĩmwe.","Now I beg you, brothers,‡ through the name of our Lord, Jesus Christ, that you all speak the same thing, and that there be no divisions among you, but that you be perfected together in the same mind and in the same judgment."
