Reference,Kikuyu,English
Ecclesiastes 1:1,"Ici nĩcio ciugo cia Mũrutani, mũrũ wa Daudi, ũrĩa warĩ mũthamaki kũu Jerusalemu:","The words of the Preacher, the son of David, king in Jerusalem:"
Ecclesiastes 1:2,“Maũndũ mothe nĩ ma tũhũ! Ĩĩ nĩ ma tũhũ!” Ũguo nĩguo Mũrutani ekuuga. “Ti-itherũ nĩ ma tũhũ mũtheri! Maũndũ mothe nĩ ma tũhũ.”,"“Vanity of vanities,” says the Preacher; “Vanity of vanities, all is vanity.”"
Ecclesiastes 1:3,"Mũndũ-rĩ, nĩ uumithio ũrĩkũ onaga harĩ wĩra ũrĩa wothe arutaga gũkũ thĩ kwaraga riũa?",What does man gain from all his labor in which he labors under the sun?
Ecclesiastes 1:4,"Rũciaro rũmwe rwathira-rĩ, nĩ rũngĩ rũũkaga, no rĩrĩ, thĩ ĩtũũraga o ho nginya tene na tene.","One generation goes, and another generation comes; but the earth remains forever."
Ecclesiastes 1:5,"Riũa rĩrathaga na rĩgathũa, ningĩ rĩgacooka na ihenya kũrĩa rĩrathagĩra.","The sun also rises, and the sun goes down, and hurries to its place where it rises."
Ecclesiastes 1:6,"Rũhuho rũhurutanaga rwerekeire mwena wa gũthini, na rũgacooka rũkeerekera mwena wa gathigathini; rũthiiaga o rũgĩthiũrũrũkaga rũtegũtigithĩria, o rũgĩcookaga njĩra-inĩ yaruo.","The wind goes toward the south, and turns around to the north. It turns around continually as it goes, and the wind returns again to its courses."
Ecclesiastes 1:7,"Njũũĩ ciothe ciĩitagĩrĩra iria-inĩ, no rĩrĩ, iria rĩtirĩ hĩndĩ rĩiyũraga. O kũu njũũĩ ciumaga, nokuo icookaga.","All the rivers run into the sea, yet the sea is not full. To the place where the rivers flow, there they flow again."
Ecclesiastes 1:8,"Maũndũ mothe marehanagĩra mĩnoga ĩrĩa ĩtangĩgweteka. Riitho rĩtirĩ hĩndĩ rĩiganagia kuona, o na kana gũtũ gũkaigania kũigua.","All things are full of weariness beyond uttering. The eye is not satisfied with seeing, nor the ear filled with hearing."
Ecclesiastes 1:9,"Maũndũ marĩa maanakorwo kuo no mo macookaga gũkorwo kuo rĩngĩ, naguo ũndũ ũrĩa waneekwo noguo ũcookaga ũgeekwo rĩngĩ; gũtirĩ ũndũ ũtarĩ woneka gũkũ thĩ kwaraga riũa.","That which has been is that which shall be, and that which has been done is that which shall be done; and there is no new thing under the sun."
Ecclesiastes 1:10,Hihi nĩ harĩ ũndũ mũndũ angiuga atĩrĩ: “Ta rora! Ũyũ nĩ ũndũ ũtarĩ wonekana”? Ũndũ ũcio warĩ kuo hĩndĩ ndaaya hĩtũku; warĩ kuo tũtarĩ twaciarwo.,"Is there a thing of which it may be said, “Behold,† this is new”? It has been long ago, in the ages which were before us."
Ecclesiastes 1:11,"Andũ arĩa maarĩ kuo tene matiririkanagwo, na o na arĩa matarĩ maraciarwo matikaaririkanwo nĩ arĩa magaaciarwo thuutha wao.","There is no memory of the former; neither shall there be any memory of the latter that are to come, among those that shall come after."
Ecclesiastes 1:12,"Niĩ Mũrutani-rĩ, ndaarĩ mũthamaki wathamakagĩra Isiraeli kũu Jerusalemu.","I, the Preacher, was king over Israel in Jerusalem."
Ecclesiastes 1:13,"Nĩnderutĩire na kĩyo kwĩruta, na gũtuĩria na ũũgĩ maũndũ mothe marĩa mekagwo gũkũ thĩ. Kaĩ Ngai nĩakuuithĩtie andũ mũrigo mũritũ-ĩ!",I applied my heart to seek and to search out by wisdom concerning all that is done under the sky. It is a heavy burden that God‡ has given to the sons of men to be afflicted with.
Ecclesiastes 1:14,"Nĩndĩĩoneire maũndũ marĩa mothe mekagwo gũkũ thĩ kwaraga riũa; maũndũ mothe no ma tũhũ, na ũguo no ta gũtengʼeria rũhuho.","I have seen all the works that are done under the sun; and behold, all is vanity and a chasing after wind."
Ecclesiastes 1:15,Kĩndũ kĩrĩa kĩogomu gĩtingĩrũngĩka; nakĩo kĩrĩa gĩtarĩ ho gĩtingĩtarwo.,That which is crooked can’t be made straight; and that which is lacking can’t be counted.
Ecclesiastes 1:16,"Na niĩ ngĩĩciiria, ngiuga na ngoro yakwa atĩrĩ, “Ndĩ mũkũrũ na ngagĩa na ũũgĩ mũingĩ gũkĩra andũ arĩa othe manaathana Jerusalemu mbere yakwa; nĩmenyete maũndũ maingĩ makoniĩ ũũgĩ na ũmenyo.”","I said to myself, “Behold, I have obtained for myself great wisdom above all who were before me in Jerusalem. Yes, my heart has had great experience of wisdom and knowledge.”"
Ecclesiastes 1:17,"Ningĩ nĩnderutire na ngoro yakwa kũmenya ũhoro wa ũũgĩ, o na kũmenya ũhoro wa ũgũrũki na wa ũrimũ, no ngĩmenya atĩ ũhoro ũcio, o naguo, no ta gũtengʼeria rũhuho.","I applied my heart to know wisdom, and to know madness and folly. I perceived that this also was a chasing after wind."
Ecclesiastes 1:18,"Nĩgũkorwo o ũrĩa ũũgĩ waingĩha, noguo ihooru rĩingĩhĩte; na ũrĩa ũmenyo waingĩha, noguo kĩeha kĩingĩhĩte. 2",For in much wisdom is much grief; and he who increases knowledge increases sorrow. 2
Ecclesiastes 2:1,"Ndeĩrire na ngoro yakwa atĩrĩ, “Atĩrĩrĩ, ũka rĩu, nĩngũkũgeria na ikeno nĩgeetha nyone nĩ ũndũ ũrĩkũ mwega.” No rĩrĩ, o naguo ũndũ ũcio warĩ o wa tũhũ.","I said in my heart, “Come now, I will test you with mirth; therefore enjoy pleasure;” and behold, this also was vanity."
Ecclesiastes 2:2,"Ningĩ ngiuga atĩrĩ, “Mĩtheko o nayo nĩ ũrimũ. Naguo ũhoro wa gwĩkenia-rĩ, ngĩĩyũria nĩ wa bata ũrĩkũ?”","I said of laughter, “It is foolishness;” and of mirth, “What does it accomplish?”"
Ecclesiastes 2:3,"Ndaageririe ũrĩa ingĩkenia mwĩrĩ wakwa na ndibei, o ndongoretio nĩ ngoro yakwa na ũũgĩ, ngĩhĩmbĩria ũkĩĩgu, ngĩenda kũmenya nĩ ũndũ ũrĩkũ andũ maagĩrĩirwo nĩ gwĩka gũkũ thĩ matukũ-inĩ o macio manini ma muoyo wao.","I searched in my heart how to cheer my flesh with wine, my heart yet guiding me with wisdom, and how to lay hold of folly, until I might see what it was good for the sons of men that they should do under heaven all the days of their lives."
Ecclesiastes 2:4,"Nĩndarutire mawĩra manene: Ngĩĩyakĩra nyũmba, na ngĩĩhaandĩra mĩgũnda ya mĩthabibũ.",I made myself great works. I built myself houses. I planted myself vineyards.
Ecclesiastes 2:5,"Nĩndathondekire mĩgũnda na kũndũ gwa kũhurũkwo, na ngĩhaanda mĩtĩ ya mĩthemba yothe ya matunda kuo.","I made myself gardens and parks, and I planted trees in them of all kinds of fruit."
Ecclesiastes 2:6,Ngĩcooka ngĩhingĩrĩria tũria twa maaĩ twa kuunithagĩria maaĩ kũrĩa mĩtĩ ĩyo yakũragĩra.,"I made myself pools of water, to water the forest where trees were grown."
Ecclesiastes 2:7,"Ningĩ ngĩgũra ngombo cia arũme na cia andũ-a-nja, na nĩ ndaarĩ na ngombo ingĩ iria ciaciarĩirwo gwakwa mũciĩ. O na nĩ ndaarĩ na ndũũru nyingĩ cia mbũri na cia ngʼombe gũkĩra arĩa othe maarĩ Jerusalemu mbere yakwa.","I bought male servants and female servants, and had servants born in my house. I also had great possessions of herds and flocks, above all who were before me in Jerusalem."
Ecclesiastes 2:8,"Nĩndacookanĩrĩirie betha na thahabu, na indo cia bata iria cia athamaki o na cia mabũrũri. Ningĩ ngĩgĩa na aini a arũme na a andũ-a-nja, o na thuriya nyingĩ mũno: maũndũ marĩa makenagia ngoro ya mũndũ.","I also gathered silver and gold for myself, and the treasure of kings and of the provinces. I got myself male and female singers, and the delights of the sons of men: musical instruments of all sorts."
Ecclesiastes 2:9,"Nĩ ũndũ ũcio ngĩneneha na ngĩtonga mũno gũkĩra arĩa othe maarĩ Jerusalemu mbere yakwa. Thĩinĩ wa maũndũ macio mothe-rĩ, ũũgĩ wakwa ndaarĩ o naguo.","So I was great, and increased more than all who were before me in Jerusalem. My wisdom also remained with me."
Ecclesiastes 2:10,"Naguo ũndũ o wothe ũrĩa maitho makwa meriragĩria ndierigagĩrĩria kũwĩka; o na ningĩ ngoro yakwa ndiamĩrigĩrĩirie gĩkeno o na kĩrĩkũ. Nĩgũkorwo ngoro yakwa nĩyakenagĩra mawĩra makwa mothe, naguo ũndũ ũcio nĩguo warĩ irĩhi rĩa wĩra wakwa wothe.","Whatever my eyes desired, I didn’t keep from them. I didn’t withhold my heart from any joy, for my heart rejoiced because of all my labor, and this was my portion from all my labor."
Ecclesiastes 2:11,"No rĩrĩa ndaarorire mawĩra marĩa mothe ndaarutĩte na moko makwa, o na ũrĩa ndetungumanĩtie ngĩmaruta, ngĩona atĩ maũndũ mothe nĩ ma tũhũ, no ta gũtengʼeria rũhuho; gũtirĩ kĩndũ mũndũ angĩĩguna nakĩo gũkũ thĩ.","Then I looked at all the works that my hands had worked, and at the labor that I had labored to do; and behold, all was vanity and a chasing after wind, and there was no profit under the sun."
Ecclesiastes 2:12,"Ningĩ ngĩcooka ngĩĩhũgũra nĩguo ndĩcũũranie ũhoro wa ũũgĩ, o na wa ũgũrũki, na wa ũkĩĩgu. Atĩrĩrĩ, nĩ atĩa ũngĩ mũthamaki ũrĩa ũcookagio ithenya rĩa ũrĩa ũngĩ angĩĩka ũteekĩtwo?","I turned myself to consider wisdom, madness, and folly; for what can the king’s successor do? Just that which has been done long ago."
Ecclesiastes 2:13,"Hĩndĩ ĩyo ngĩkĩona atĩ ũũgĩ nĩ mwega gũkĩra ũkĩĩgu, o ta ũrĩa ũtheri ũrĩ mwega gũkĩra nduma.","Then I saw that wisdom excels folly, as far as light excels darkness."
Ecclesiastes 2:14,"Mũndũ ũrĩa mũũgĩ nĩonaga kũrĩa arathiĩ, no mũndũ mũkĩĩgu athiiagĩra nduma-inĩ; no ngĩcooka ngĩmenya atĩ o eerĩ makoragwo nĩ ũndũ o ro ũmwe.","The wise man’s eyes are in his head, and the fool walks in darkness—and yet I perceived that one event happens to them all."
Ecclesiastes 2:15,"Hĩndĩ ĩyo ngĩkiuga na ngoro yakwa atĩrĩ, “Ũndũ ũrĩa ũkoraga mũndũ mũkĩĩgu o na niĩ no ũkaangora. Ũũgĩ wakwa-rĩ, ũkĩngʼunĩte na kĩ?” Ngĩkiuga atĩrĩ na ngoro yakwa, “Ũndũ ũyũ o naguo no wa tũhũ.”","Then I said in my heart, “As it happens to the fool, so will it happen even to me; and why was I then more wise?” Then I said in my heart that this also is vanity."
Ecclesiastes 2:16,"Nĩgũkorwo mũndũ ũrĩa mũũgĩ, o ta mũndũ ũrĩa mũkĩĩgu, ndagatũũra aririkanagwo; nĩgũkorwo matukũ-inĩ marĩa magooka o eerĩ nĩmakariganĩra. Hĩ, mũndũ ũrĩa mũũgĩ akuuaga o ta mũndũ ũrĩa mũkĩĩgu!","For of the wise man, even as of the fool, there is no memory forever, since in the days to come all will have been long forgotten. Indeed, the wise man must die just like the fool!"
