Reference,Kikuyu,English
Ephesians 1:1,"Nĩ niĩ Paũlũ, mũtũmwo wa Kristũ Jesũ nĩ ũndũ wa kwenda kwa Ngai, Ndĩrandĩkĩra andũ arĩa aamũre kũu Efeso, arĩa ehokeku thĩinĩ wa Kristũ Jesũ:","Paul, an apostle of Christ† Jesus through the will of God, to the saints who are at Ephesus, and the faithful in Christ Jesus:"
Ephesians 1:2,"Wega na thayũ kuuma kũrĩ Ngai Ithe witũ, na Mwathani Jesũ Kristũ, irogĩa na inyuĩ.",Grace to you and peace from God our Father and the Lord Jesus Christ.
Ephesians 1:3,"Atĩrĩrĩ, Ngai, o we Ithe wa Mwathani witũ Jesũ Kristũ, arogoocwo, o we ũtũrathimĩte na irathimo ciothe cia kĩĩroho thĩinĩ wa Kristũ, iria ciumaga kũu igũrũ.","Blessed be the God and Father of our Lord Jesus Christ, who has blessed us with every spiritual blessing in the heavenly places in Christ,"
Ephesians 1:4,"Nĩgũkorwo o na thĩ ĩtanombwo, Ngai nĩatũthuurire nĩguo tũtuĩke ake thĩinĩ wa Kristũ, nĩguo tũtuĩke atheru na twage ũcuuke maitho-inĩ make. Nĩ ũndũ wa wendo wake-rĩ,","even as he chose us in him before the foundation of the world, that we would be holy and without defect before him in love,"
Ephesians 1:5,"Ngai nĩatuĩte o mbere atĩ nĩtũgaatuĩka ciana ciake nĩ ũndũ wa Jesũ Kristũ, kũringana na ũrĩa eendete na ũrĩa oonire arĩ wega,","having predestined us for adoption as children through Jesus Christ to himself, according to the good pleasure of his desire,"
Ephesians 1:6,"nĩguo wega wake ũrĩa ũrĩ riiri ũkumagio, wega ũcio atũheete o ũguo tũhũ thĩinĩ wa Mũriũ wake ũrĩa endete mũno.","to the praise of the glory of his grace, by which he freely gave us favor in the Beloved."
Ephesians 1:7,"Na twakũũrirwo na ũndũ wa thakame ya Kristũ, na tũkĩrekerwo mehia maitũ, kũringana na ũrĩa wega wa Ngai ũingĩhĩte,","In him we have our redemption through his blood, the forgiveness of our trespasses, according to the riches of his grace"
Ephesians 1:8,wega ũcio aatũingĩhĩirie arĩ na ũũgĩ na ũmenyo wothe.,"which he made to abound toward us in all wisdom and prudence,"
Ephesians 1:9,"Nake agĩtũmenyithia hitho ya wendi wake, kũringana na ũrĩa oonire arĩ wega, o ũrĩa aatanyĩte gwĩka thĩinĩ wa Kristũ,","making known to us the mystery of his will, according to his good pleasure which he purposed in him"
Ephesians 1:10,"nĩguo ũkaahingio rĩrĩa mahinda marĩa magĩrĩire magaakinya, nĩguo acookanĩrĩrie indo ciothe iria irĩ igũrũ na iria irĩ gũkũ thĩ harĩ mũtongoria ũmwe, na nĩwe Kristũ.","to an administration of the fullness of the times, to sum up all things in Christ, the things in the heavens and the things on the earth, in him."
Ephesians 1:11,"Ningĩ nĩ thĩinĩ wa Kristũ o na ithuĩ twamũkĩrire igai kuuma kũrĩ Ngai, kũringana na ũrĩa aatuĩte o mbere, o we wĩkaga maũndũ mothe kũringana na muoroto wa wendi wake,","We were also assigned an inheritance in him, having been foreordained according to the purpose of him who does all things after the counsel of his will,"
Ephesians 1:12,"nĩguo o na ithuĩ arĩa twarĩ a mbere kwĩhoka Kristũ, tũtuĩke a kũgoocithia riiri wa Ngai.","to the end that we should be to the praise of his glory, we who had before hoped in Christ."
Ephesians 1:13,"Inyuĩ o na inyuĩ nĩmwataranĩirio na Kristũ mwarĩkia kũigua ũhoro-ũrĩa-wa-ma, naguo nĩguo Ũhoro-ũrĩa-Mwega wa ũhonokio wanyu. Mwarĩkia gwĩtĩkia, nĩmwekĩrirwo rũũri thĩinĩ wake, na ũndũ wa kũheo Roho Mũtheru ũrĩa mwerĩirwo,","In him you also, having heard the word of the truth, the Good News of your salvation—in whom, having also believed, you were sealed with the promised Holy Spirit,"
Ephesians 1:14,"Nake Roho nĩwe mũrũgamĩrĩri wa kuonania atĩ nĩtũkagaĩrwo igai riitũ nginya rĩrĩa andũ arĩa marĩ a Ngai magaatuĩka a gũkũũrwo, nĩgeetha riiri wake ũgoocagwo.","who is a pledge of our inheritance, to the redemption of God’s own possession, to the praise of his glory."
Ephesians 1:15,"Na nĩ ũndũ ũcio, kuuma rĩrĩa ndaiguire ũhoro wa wĩtĩkio wanyu thĩinĩ wa Mwathani Jesũ, o na wendani wanyu ũrĩa mwendaga arĩa othe aamũre naguo-rĩ,","For this cause I also, having heard of the faith in the Lord Jesus which is among you and the love which you have toward all the saints,"
Ephesians 1:16,"ndirĩ ndatigithĩria gũcookeria Ngai ngaatho nĩ ũndũ wanyu, ngĩmũririkanaga mahooya-inĩ makwa.","don’t cease to give thanks for you, making mention of you in my prayers,"
Ephesians 1:17,"Hooyaga atĩ Ngai wa Mwathani witũ Jesũ Kristũ, o we ithe witũ mwene riiri, amũhe Roho, ũrĩa ũkamũhe ũũgĩ na ũguũrio nĩguo mũmenye Ngai wega.","that the God of our Lord Jesus Christ, the Father of glory, may give to you a spirit of wisdom and revelation in the knowledge of him,"
Ephesians 1:18,"Ningĩ nĩhooyaga atĩ maitho manyu ma ngoro mathererwo nĩ ũtheri, nĩguo mũmenye ũhoro wa kĩĩrĩgĩrĩro kĩrĩa amwĩtĩire, na mũmenye ũtonga wa igai rĩake rĩrĩ na riiri, rĩrĩa akaagaĩra andũ ake aamũre,","having the eyes of your hearts‡ enlightened, that you may know what is the hope of his calling, and what are the riches of the glory of his inheritance in the saints,"
Ephesians 1:19,"o na ũhoti wake mũnene ũtangĩgereka nĩ ũndũ witũ, ithuĩ arĩa twĩtĩkĩtie. Ũhoti ũcio no ta hinya wake mũnene ũkĩruta wĩra,","and what is the exceeding greatness of his power toward us who believe, according to that working of the strength of his might"
