Reference,Kikuyu,English
Galatians 1:1,"Nĩ niĩ mũtũmwo Paũlũ, na rĩrĩ, ndirĩ mũtũmwo ũtũmĩtwo nĩ andũ o na kana ngatũmwo na njĩra ya mũndũ, no ndũmĩtwo nĩ Jesũ Kristũ na Ngai Ithe witũ, ũrĩa wamũriũkirie kuuma kũrĩ arĩa akuũ.","Paul, an apostle—not from men, nor through man, but through Jesus Christ,† and God the Father, who raised him from the dead—"
Galatians 1:2,"Niĩ hamwe na ariũ na aarĩ a Ithe witũ othe arĩa tũrĩ nao, nĩ ithuĩ tũramũtũmĩra marũa maya, Kũrĩ inyuĩ andũ a makanitha ma Galatia:","and all the brothers‡ who are with me, to the assemblies of Galatia:"
Galatians 1:3,"Mũrogĩa na wega na thayũ iria ciumĩte kũrĩ Ngai Ithe witũ, o na kũrĩ Mwathani Jesũ Kristũ,","Grace to you and peace from God the Father and our Lord Jesus Christ,"
Galatians 1:4,"ũrĩa werutire nĩ ũndũ wa mehia maitũ nĩguo atũhonokie kuuma kũrĩ mahinda maya tũrĩ, marĩa maiyũrĩtwo nĩ maũndũ mooru, kũringana na wendi wa Ngai Ithe witũ,","who gave himself for our sins, that he might deliver us out of this present evil age, according to the will of our God and Father—"
Galatians 1:5,nake arotũũra akumagio nginya tene na tene. Ameni.,to whom be the glory forever and ever. Amen.
Galatians 1:6,"Niĩ nĩkũgega ndĩragega nĩ ũndũ wa ũrĩa mũrahiũha gũtigana na ũrĩa wamwĩtire na ũndũ wa wega wa Kristũ, mũkagarũrũkĩra ũhoro mwega wa mũthemba ũngĩ,","I marvel that you are so quickly deserting him who called you in the grace of Christ to a different “good news”,"
Galatians 1:7,naguo ti Ũhoro-ũrĩa-Mwega o na atĩa. No nĩ kũrĩ andũ maramũhĩngĩĩca makĩenda gũthũkia Ũhoro-ũrĩa-Mwega wa Kristũ.,but there isn’t another “good news.” Only there are some who trouble you and want to pervert the Good News of Christ.
Galatians 1:8,"No rĩrĩ, o na kũngĩkorwo nĩ ithuĩ o na kana mũraika uumĩte igũrũ, ũngĩmũhunjĩria ũhoro mwega ũngĩ tiga ũrĩa twamũhunjĩirie-rĩ, mũndũ ũcio aronyiitwo nĩ kĩrumi nginya tene!","But even though we, or an angel from heaven, should preach to you any “good news” other than that which we preached to you, let him be cursed."
Galatians 1:9,"O ta ũrĩa tũmwĩrĩte, o na rĩu nĩ nguuga o rĩngĩ atĩrĩ, mũndũ o wothe angĩmũhunjĩria ũhoro mwega ũngĩ tiga ũrĩa mwetĩkirie-rĩ, aronyiitwo nĩ kĩrumi nginya tene!","As we have said before, so I now say again: if any man preaches to you any “good news” other than that which you received, let him be cursed."
Galatians 1:10,"Atĩrĩrĩ, ngiuga ũguo-rĩ, kaĩ arĩ andũ ndĩrenda kwĩyendithia kũrĩ o, kana nĩ kũrĩ Ngai? Kana hihi nĩ andũ ndĩrenda gũkenia? Korwo nĩ andũ ngeragia gũkenia-rĩ, ndingĩkorwo ndĩ ndungata ya Kristũ.","For am I now seeking the favor of men, or of God? Or am I striving to please men? For if I were still pleasing men, I wouldn’t be a servant of Christ."
Galatians 1:11,"Ariũ na aarĩ a Ithe witũ, ngwenda mũmenye atĩ Ũhoro-ũrĩa-Mwega ndamũhunjĩirie ti ũhoro woimanĩte na mũndũ.","But I make known to you, brothers, concerning the Good News which was preached by me, that it is not according to man."
Galatians 1:12,"Ũhoro ũcio ndiaheirwo nĩ mũndũ, o na kana ngĩthomithio nĩ mũndũ; no nĩ kũguũrĩrio ndaguũrĩirio Ũhoro ũcio nĩ Jesũ Kristũ.","For I didn’t receive it from man, nor was I taught it, but it came to me through revelation of Jesus Christ."
Galatians 1:13,"Nĩgũkorwo nĩmũiguĩte ũhoro wa mĩthiĩre yakwa ya tene, ũrĩa ndaatũire njĩkaga ndĩ thĩinĩ wa ndini ya Ayahudi, na ũrĩa ndanyariiraga kanitha wa Ngai na hinya ngĩgeria kũũniina.","For you have heard of my way of living in time past in the Jews’ religion, how that beyond measure I persecuted the assembly of God and ravaged it."
Galatians 1:14,"Niĩ ha ũhoro wa maũndũ makoniĩ ndini ya Ayahudi, nĩ ndaathiĩte mbere o na gũkĩra Ayahudi aingĩ a riika rĩakwa na ndaarĩ na kĩyo kĩnene gĩa kũrũmia mĩtugo ya maithe maitũ.","I advanced in the Jews’ religion beyond many of my own age among my countrymen, being more exceedingly zealous for the traditions of my fathers."
Galatians 1:15,"No rĩrĩ, Ngai ũrĩa wanyamũrire kuuma ndaciarwo, na akĩnjĩta nĩ ũndũ wa wega wake-rĩ, nĩ oonire arĩ wega,","But when it was the good pleasure of God, who separated me from my mother’s womb and called me through his grace,"
Galatians 1:16,"anguũrĩrie Mũriũ nĩgeetha hunjagĩrie andũ-a-Ndũrĩrĩ ũhoro wake; gũtirĩ mũndũ o na ũrĩkũ ndaahoire kĩrĩra,","to reveal his Son in me, that I might preach him among the Gentiles, I didn’t immediately confer with flesh and blood,"
Galatians 1:17,"o na ndiambatire Jerusalemu kuonana na arĩa maarĩ atũmwo mbere yakwa, no ndathiire bũrũri wa Arabia na ihenya, na thuutha ũcio ngĩcooka Dameski.","nor did I go up to Jerusalem to those who were apostles before me, but I went away into Arabia. Then I returned to Damascus."
Galatians 1:18,"Na rĩrĩ, thuutha wa mĩaka ĩtatũ, nĩndambatire Jerusalemu nĩguo tũkamenyane na Petero, na ngĩikara nake matukũ ikũmi na matano.","Then after three years I went up to Jerusalem to visit Peter, and stayed with him fifteen days."
Galatians 1:19,"Tũtionanire na atũmwo acio angĩ, tiga o Jakubu, mũrũ wa nyina na Mwathani.","But of the other apostles I saw no one except James, the Lord’s brother."
Galatians 1:20,"Ũhoro ũyũ ndĩramwandĩkĩra, ndĩramwĩra ndĩ mbere ya Ngai atĩ nĩ wa ma na ndiraheenania.","Now about the things which I write to you, behold,§ before God, I’m not lying."
Galatians 1:21,Thuutha ũcio nĩndacookire ngĩthiĩ Suriata na Kilikia.,Then I came to the regions of Syria and Cilicia.
Galatians 1:22,Niĩ mwene ndiamenyekete nĩ makanitha ma Judea marĩa marĩ thĩinĩ wa Kristũ.,"I was still unknown by face to the assemblies of Judea which were in Christ,"
Galatians 1:23,"No kũiguamaiguagaatĩrĩ, “Mũndũũrĩa ũratũire atũnyariiraga rĩu nĩwe ũrahunjia wĩtĩkio ũrĩa aageragia kũniina mbere ĩyo.”","but they only heard, “He who once persecuted us now preaches the faith that he once tried to destroy.”"
