Reference,Kikuyu,English
Genesis 1:1,"Kĩambĩrĩria-inĩ kĩa maũndũ mothe, Ngai nĩombire igũrũ na thĩ.","In the beginning, God† created the heavens and the earth."
Genesis 1:2,"Hĩndĩ ĩyo thĩ ndĩarĩ ũrĩa yatariĩ na ndĩarĩ na kĩndũ, nayo nduma yarĩ igũrũ rĩa kũrĩa kũriku, nake Roho wa Ngai aareerete igũrũ rĩa maaĩ.",The earth was formless and empty. Darkness was on the surface of the deep and God’s Spirit was hovering over the surface of the waters.
Genesis 1:3,"Nake Ngai agĩathana, akiuga atĩrĩ, “Nĩkũgĩe ũtheri,” na gũkĩgĩa ũtheri.","God said, “Let there be light,” and there was light."
Genesis 1:4,"Ngai akĩona atĩ ũtheri ũcio warĩ mwega, nake akĩgayũkania ũtheri na nduma.","God saw the light, and saw that it was good. God divided the light from the darkness."
Genesis 1:5,"Ngai agĩĩta ũtheri ũcio “mũthenya,” nayo nduma akĩmĩĩta “ũtukũ.” Na gũkĩgĩa hwaĩ-inĩ, na gũkĩgĩa rũciinĩ. Ũcio ũgĩtuĩka mũthenya wa mbere.","God called the light “day”, and the darkness he called “night”. There was evening and there was morning, the first day."
Genesis 1:6,"Nake Ngai agĩathana, akiuga atĩrĩ, “Nĩkũgĩe wariĩ mũnene gatagatĩ ka maaĩ ũgayũkanie maaĩ na marĩa mangĩ.”","God said, “Let there be an expanse in the middle of the waters, and let it divide the waters from the waters.”"
Genesis 1:7,Nĩ ũndũ ũcio Ngai agĩĩkĩra wariĩ ũcio na akĩgayũkania maaĩ marĩa maarĩ thĩ ya wariĩ ũcio na maaĩ marĩa maarĩ igũrũ rĩaguo. Na gũgĩtuĩka o ũguo.,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so."
Genesis 1:8,Ngai agĩĩta wariĩ ũcio “matu mairũ.” Na gũkĩgĩa hwaĩ-inĩ na gũkĩgĩa rũciinĩ. Ũcio ũgĩtuĩka mũthenya wa keerĩ.,"God called the expanse “sky”. There was evening and there was morning, a second day."
Genesis 1:9,"Nake Ngai agĩathana, akiuga atĩrĩ, “Maaĩ marĩa marĩ thĩ ya matu mairũ nĩ mongane handũ hamwe na kũgĩe thĩ nyũmũ.” Na gũgĩtuĩka o ũguo.","God said, “Let the waters under the sky be gathered together to one place, and let the dry land appear;” and it was so."
Genesis 1:10,"Ngai agĩĩta kũrĩa kũmũ “thĩ,” namo maaĩ marĩa maacookanĩrĩire akĩmeeta “maria.” Nake Ngai akĩona atĩ ũndũ ũcio warĩ mwega.","God called the dry land “earth”, and the gathering together of the waters he called “seas”. God saw that it was good."
Genesis 1:11,"Ningĩ Ngai agĩathana, akiuga atĩrĩ, “Thĩ nĩ ĩmere mĩmera: Mĩmera ĩrĩa ĩciaraga mbeũ, na mĩtĩ ĩrĩa ĩciaraga matunda marĩ na mbeũ thĩinĩ, kũringana na mĩthemba yayo.” Na gũgĩtuĩka o ũguo.","God said, “Let the earth yield grass, herbs yielding seeds, and fruit trees bearing fruit after their kind, with their seeds in it, on the earth;” and it was so."
Genesis 1:12,"Thĩ ĩkĩmera mĩmera: Mĩmera ĩgũciara mbeũ kũringana na mĩthemba yayo, na mĩtĩ ĩgũciara matunda marĩ na mbeũ thĩinĩ kũringana na mĩthemba yayo. Nake Ngai akĩona atĩ ũndũ ũcio warĩ mwega.","The earth yielded grass, herbs yielding seed after their kind, and trees bearing fruit, with their seeds in it, after their kind; and God saw that it was good."
Genesis 1:13,Nakuo gũkĩgĩa hwaĩ-inĩ na gũkĩgĩa rũciinĩ. Ũcio ũgĩtuĩka mũthenya wa gatatũ.,"There was evening and there was morning, a third day."
Genesis 1:14,"Ningĩ Ngai agĩathana, akiuga atĩrĩ, “Nĩkũgĩe imũrĩ wariĩ-inĩ wa matu mairũ cia kũgayũkania mũthenya na ũtukũ, na irekwo ituĩke imenyithania cia imera, na mĩthenya na mĩaka.","God said, “Let there be lights in the expanse of the sky to divide the day from the night; and let them be for signs to mark seasons, days, and years;"
Genesis 1:15,"Na ituĩke imũrĩ wariĩ-inĩ ũcio wa matu mairũ, itũmage thĩ kũgĩage na ũtheri.” Na gũgĩtuĩka o ũguo.",and let them be for lights in the expanse of the sky to give light on the earth;” and it was so.
Genesis 1:16,"Ngai nĩombire imũrĩ igĩrĩ nene. Kĩmũrĩ kĩrĩa kĩnenanene, nĩkĩo riũa, kĩarage mũthenya; nakĩo kĩmũrĩ kĩrĩa kĩninanini, nĩkĩo mweri, kĩarage ũtukũ. O na ningĩ akĩũmba njata.","God made the two great lights: the greater light to rule the day, and the lesser light to rule the night. He also made the stars."
Genesis 1:17,"Ngai agĩciiga wariĩ-inĩ wa matu mairũ itũmage thĩ kũgĩe ũtheri,","God set them in the expanse of the sky to give light to the earth,"
Genesis 1:18,"ciarage mũthenya na ũtukũ, na igayũkanagie nduma na ũtheri. Nake Ngai akĩona atĩ ũndũ ũcio warĩ mwega.","and to rule over the day and over the night, and to divide the light from the darkness. God saw that it was good."
Genesis 1:19,Na gũkĩgĩa hwaĩ-inĩ na gũkĩgĩa rũciinĩ. Ũcio ũgĩtuĩka mũthenya wa kana.,"There was evening and there was morning, a fourth day."
Genesis 1:20,"Ningĩ Ngai agĩathana, akiuga atĩrĩ: “Maaĩ nĩmaiyũrwo nĩ ciũmbe irĩ muoyo, nacio nyoni nĩciũmbũkagĩre igũrũ rĩa thĩ gũtuĩkania wariĩ wa matu mairũ.”","God said, “Let the waters abound with living creatures, and let birds fly above the earth in the open expanse of the sky.”"
Genesis 1:21,"Nĩ ũndũ ũcio Ngai akĩũmba ciũmbe iria nene cia iria-inĩ na kĩũmbe o gĩothe kĩrĩ muoyo na kĩongoyaga, ikĩiyũra maaĩ- inĩ kũringana na mĩthemba yacio, na nyoni o yothe ĩrĩ mathagu kũringana na mũthemba wayo. Nake Ngai akĩona atĩ ũndũ ũcio warĩ mwega.","God created the large sea creatures and every living creature that moves, with which the waters swarmed, after their kind, and every winged bird after its kind. God saw that it was good."
Genesis 1:22,"Ngai agĩcirathima akiuga atĩrĩ, “Ciaranai mũingĩhe, mũiyũre maaĩ-inĩ marĩa marĩ maria-inĩ, nacio nyoni nĩcingĩhe thĩ.”","God blessed them, saying, “Be fruitful, and multiply, and fill the waters in the seas, and let birds multiply on the earth.”"
Genesis 1:23,Na gũkĩgĩa hwaĩ-inĩ na gũkĩgĩa rũciinĩ. Ũcio ũgĩtuĩka mũthenya wa gatano.,"There was evening and there was morning, a fifth day."
Genesis 1:24,"Ningĩ Ngai agĩathana, akiuga atĩrĩ, “Thĩ nĩĩgĩe ciũmbe irĩ muoyo kũringana na mĩthemba yacio: mahiũ, na ciũmbe iria ithiiagĩra thĩ, na nyamũ cia gĩthaka, o nyamũ kũringana na mũthemba wayo.” Na gũgĩtuĩka o ũguo.","God said, “Let the earth produce living creatures after their kind, livestock, creeping things, and animals of the earth after their kind;” and it was so."
Genesis 1:25,"Ngai akĩũmba nyamũ cia gĩthaka kũringana na mĩthemba yacio, na mahiũ kũringana na mĩthemba yamo, na ciũmbe ciothe iria ithiiagĩra thĩ kũringana na mĩthemba yacio. Nake Ngai akĩona atĩ ũndũ ũcio warĩ mwega.","God made the animals of the earth after their kind, and the livestock after their kind, and everything that creeps on the ground after its kind. God saw that it was good."
Genesis 1:26,"Ningĩ Ngai agĩathana, akiuga atĩrĩ, “Nĩtũũmbei andũ na mũhianĩre witũ, mahaanane na ithuĩ, nao maathage thamaki cia iria na nyoni cia rĩera-inĩ, na mahiũ ma thĩ yothe, na maathage ciũmbe ciothe iria ithiiagĩra thĩ.”","God said, “Let’s make man in our image, after our likeness. Let them have dominion over the fish of the sea, and over the birds of the sky, and over the livestock, and over all the earth, and over every creeping thing that creeps on the earth.”"
