Reference,Kikuyu,English
Isaiah 1:1,"Maya nĩmo maũndũ marĩa maaguũrĩirio Isaia mũrũ wa Amozu, makoniĩ Juda na Jerusalemu hĩndĩ ya wathani wa Uzia, na wa Jothamu, na wa Ahazu, na wa Hezekia, arĩa maarĩ athamaki a Juda.","The vision of Isaiah the son of Amoz, which he saw concerning Judah and Jerusalem, in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah."
Isaiah 1:2,"Atĩrĩrĩ, wee igũrũ, ta thikĩrĩria! Nawe thĩ ta igua! Nĩgũkorwo Jehova nĩarĩtie akoiga atĩrĩ: “Niĩ heete ciana irio, ngacirera igakũra, no cio ikaanemera.","Hear, heavens, and listen, earth; for Yahweh† has spoken: “I have nourished and brought up children and they have rebelled against me."
Isaiah 1:3,"Ndegwa nĩyũũĩ mwene yo, nayo ndigiri ĩkamenya mũharatĩ wa mwene yo, no Isiraeli ndarĩ ũndũ ooĩ, andũ akwa nĩmagĩte ũmenyo.”","The ox knows his owner, and the donkey his master’s crib; but Israel doesn’t know. My people don’t consider.”"
Isaiah 1:4,"Hĩ! Kaĩ mũrĩ rũrĩrĩ rwĩhagia-ĩ. Mũrĩ andũ matitikĩte mahĩtia, na rũruka rwa andũ mekaga ũũru, na ciana ciĩrutĩire gũthũkia maũndũ! Nĩmatiganĩirie Jehova; nĩmamenete Ũrĩa Mũtheru wa Isiraeli, makamũhutatĩra, magacooka na thuutha.","Ah sinful nation, a people loaded with iniquity, offspring‡ of evildoers, children who deal corruptly! They have forsaken Yahweh. They have despised the Holy One of Israel. They are estranged and backward."
Isaiah 1:5,"Nĩ kĩĩ gĩgũtũma mwende gũikara mũkĩhũũragwo? Nĩ kĩĩ gĩgũtũma mũthiĩ o na mbere kũrema? Mũtwe wothe nĩmũtihangie, nayo ngoro yothe ĩkanyamarĩka.","Why should you be beaten more, that you revolt more and more? The whole head is sick, and the whole heart faint."
Isaiah 1:6,"Kuuma ikinya rĩa kũgũrũ nginya mũtwe gũtirĩ handũ hagima: no nguraro theri, na mĩtũnda, na ironda cia ndĩĩra itarĩ thambie, kana ikoohwo, kana ikororoiyo na maguta.","From the sole of the foot even to the head there is no soundness in it, but wounds, welts, and open sores. They haven’t been closed, bandaged, or soothed with oil."
Isaiah 1:7,"Bũrũri wanyu ũkirĩte ihooru, matũũra manyu manene magacinwo na mwaki; mĩgũnda yanyu ĩramathwo ĩgatigwo ũtheri nĩ andũ a kũngĩ o mũkĩonaga, ĩkoonũhwo ta ĩngʼaũranĩtio nĩ ageni.*","Your country is desolate. Your cities are burned with fire. Strangers devour your land in your presence and it is desolate, as overthrown by strangers."
Isaiah 1:8,"Mwarĩ wa Zayuni atiganĩirio ta gĩthũnũ kĩrĩ mũgũnda wa mĩthabibũ, agatiganĩrio ta kanyũmba karĩ mũgũnda wa marenge, o na ta itũũra inene rĩthiũrũrũkĩirio nĩ thũ ikĩenda kũrĩtunyana.","The daughter of Zion is left like a shelter in a vineyard, like a hut in a field of melons, like a besieged city."
Isaiah 1:9,"Tiga Jehova Mwene-Hinya-Wothe aatũtigĩirie matigari manini ma andũ-rĩ, tũngĩtuĩkĩte ta Sodomu, na tũkahaana ta Gomora!","Unless Yahweh of Armies had left to us a very small remnant, we would have been as Sodom. We would have been like Gomorrah."
Isaiah 1:10,"Thikĩrĩriai kiugo kĩa Jehova, inyuĩ mwathanaga Sodomu; na mũigue watho wa Ngai witũ, inyuĩ andũ a Gomora!","Hear Yahweh’s word, you rulers of Sodom! Listen to the law of our God,§ you people of Gomorrah!"
Isaiah 1:11,"“Magongona macio manyu mũndutagĩra maingĩ-rĩ, nĩ ma kĩ kũrĩ niĩ?” Ũguo nĩguo Jehova ekũũria. “Nĩnjiganĩtwo nĩ magongona ma njino, na magongona ma ndũrũme, na maguta ma nyamũ noru; niĩ ndikenagĩra thakame ya ndegwa, na ya tũtũrũme, o na ya mbũri.","“What are the multitude of your sacrifices to me?”, says Yahweh. “I have had enough of the burnt offerings of rams and the fat of fed animals. I don’t delight in the blood of bulls, or of lambs, or of male goats."
Isaiah 1:12,"Nũũ ũkoragwo amwĩrĩte mũndutĩre magongona macio rĩrĩa mũgũũka mbere yakwa kũũhooya, mũkĩrangaga nja cia nyũmba yakwa?","When you come to appear before me, who has required this at your hand, to trample my courts?"
Isaiah 1:13,"Tigai gũcooka kũrehe maruta ma tũhũ! Ũbumba wanyu nĩ kĩndũ kĩa magigi harĩ niĩ. Ndingĩhota gũkirĩrĩria ciũngano cianyu cia waganu: mĩcemanio yanyu ya Karũgamo ka Mweri, na Thabatũ, o na ciathĩ iria njathane.","Bring no more vain offerings. Incense is an abomination to me. New moons, Sabbaths, and convocations— I can’t stand evil assemblies."
Isaiah 1:14,"Ngoro yakwa nĩĩthũire ciathĩ cianyu cia Karũgamo ka Mweri, o na ciathĩ iria njathane. Maũndũ macio matuĩkĩte mũrigo harĩ niĩ, nĩmanogetie.",My soul hates your New Moons and your appointed feasts. They are a burden to me. I am weary of bearing them.
Isaiah 1:15,"Hĩndĩ ĩrĩa mwambararia moko manyu na igũrũ mũkĩhooya, nĩndĩrĩmũhithaga maitho makwa ndikamuone; o na mũngĩhooya mahooya maingĩ ndirĩmũiguaga. Nĩgũkorwo moko manyu maiyũrĩtwo nĩ thakame;","When you spread out your hands, I will hide my eyes from you. Yes, when you make many prayers, I will not hear. Your hands are full of blood."
Isaiah 1:16,"mwĩthambei mwĩtherie. Eheriai ciĩko cianyu njũru maitho-inĩ makwa! Tigai gwĩka maũndũ mooru,",Wash yourselves. Make yourself clean. Put away the evil of your doings from before my eyes. Cease to do evil.
Isaiah 1:17,"mwĩrutei gwĩkaga wega! Thingatagai ciira wa kĩhooto, na mũkoomĩrĩria arĩa ahinyĩrĩrie. Tuagai ciira wa ciana cia ngoriai na kĩhooto, na mũthaithanagĩrĩre mũtumia wa ndigwa.”",Learn to do well. Seek justice. Relieve the oppressed. Defend the fatherless. Plead for the widow.”
Isaiah 1:18,"Jehova ekuuga atĩrĩ, “Ũkai tũciire. O na mehia manyu mangĩkorwo matunĩhĩte ta gakarakũ-rĩ, nĩmagathera o ta ira; o na maatuĩka matunĩhĩte ta thakame, nĩmakerũha o ta guoya wa ngʼondu.","“Come now, and let’s reason together,” says Yahweh: “Though your sins are as scarlet, they shall be as white as snow. Though they are red like crimson, they shall be as wool."
Isaiah 1:19,"Mũngĩnjigua na mũnjathĩkĩre, nĩ mũrĩrĩĩaga indo iria njega mũno cia bũrũri;","If you are willing and obedient, you will eat the good of the land;"
Isaiah 1:20,"no mũngĩrema na mũrege gwathĩka, mũkaaniinwo na rũhiũ rwa njora.” Nĩgũkorwo nĩ kanua ka Jehova koigĩte ũguo.","but if you refuse and rebel, you will be devoured with the sword; for Yahweh’s mouth has spoken it.”"
Isaiah 1:21,"Hĩ! Kaĩ itũũra inene rĩrĩa rĩĩhokeku nĩrĩtuĩkĩte ta mũmaraya-ĩ! Hĩndĩ ĩmwe rĩaiyũrĩte ũtuanĩri ciira wa kĩhooto; ũthingu nĩguo watũũraga thĩinĩ warĩo, no rĩu nĩ oragani matũũraga kuo!","How the faithful city has become a prostitute! She was full of justice. Righteousness lodged in her, but now there are murderers."
Isaiah 1:22,"Betha yanyu ĩtuĩkĩte gĩko, ndibei yanyu ĩrĩa njega mũno ĩgatukanio na maaĩ.","Your silver has become dross, your wine mixed with water."
Isaiah 1:23,"Andũ anyu arĩa mamwathaga nĩ kũrema maremete, magatuĩka a thiritũ ya aici; othe nĩmendete mahaki, nao mahanyũkanagia na indo cia kũheo. Maticiiragĩra ciana cia ngoriai na kĩhooto; na matithikagĩrĩria ciira wa mũtumia wa ndigwa.","Your princes are rebellious and companions of thieves. Everyone loves bribes and follows after rewards. They don’t defend the fatherless, neither does the cause of the widow come to them."
Isaiah 1:24,"Nĩ ũndũ ũcio, Mwathani, Jehova Mwene-Hinya-Wothe, O we Mwene Hinya wa Isiraeli, ekuuga atĩrĩ, “Hĩ! Nĩngaitĩrĩria amuku akwa mangʼũrĩ makwa, na ndĩĩrĩhĩrie harĩ thũ ciakwa.","Therefore the Lord,† Yahweh of Armies, the Mighty One of Israel, says: “Ah, I will get relief from my adversaries, and avenge myself on my enemies."
Isaiah 1:25,"Nĩngagũũkĩrĩra na guoko gwakwa; ngagũtheria gĩko gĩaku gĩthire biũ, na maũndũ maku mothe marĩa matarĩ matheru ndĩmatherie.","I will turn my hand on you, thoroughly purge away your dross, and will take away all your tin.‡"
Isaiah 1:26,"Aciirithania aku ngaatũma matuĩke o ta ũrĩa maatariĩ matukũ-inĩ ma tene, na aheani kĩrĩra aku o ta ũrĩa maatariĩ kĩambĩrĩria-inĩ. Thuutha ũcio ũgeetagwo Itũũra Inene rĩa Ũthingu, o na Itũũra Inene Rĩĩhokeku.”","I will restore your judges as at the first, and your counselors as at the beginning. Afterward you shall be called ‘The city of righteousness, a faithful town.’"
Isaiah 1:27,"Itũũra rĩa Zayuni rĩgaakũũrwo na ciira wa kĩhooto, nao andũ a rĩo arĩa merirĩte makũũrwo na ũthingu.","Zion shall be redeemed with justice, and her converts with righteousness."
Isaiah 1:28,"No andũ arĩa aremi na arĩa ehia makaaniinwo hamwe, nao arĩa matiganagĩria Jehova nĩmagathira biũ.","But the destruction of transgressors and sinners shall be together, and those who forsake Yahweh shall be consumed."
Isaiah 1:29,“Nĩmũgaconoka nĩ ũndũ wa mĩgandi ĩyo mĩamũre mũtũire mũkenagĩra; nĩmũkaigua thoni nĩ ũndũ wa mĩgũnda ĩyo mwĩthuurĩire.,"For they shall be ashamed of the oaks which you have desired, and you shall be confounded for the gardens that you have chosen."
Isaiah 1:30,"Mũgaatuĩka ta mũgandi ũrahooha mathangũ, mũtuĩke ta mũgũnda ũtarĩ maaĩ.","For you shall be as an oak whose leaf fades, and as a garden that has no water."
Isaiah 1:31,"Mũndũ ũrĩa ũrĩ hinya agaatuĩka maragara, naguo wĩra wake ũtuĩke thandĩ; we na wĩra wake nĩmakahĩa hamwe, haage mũndũ wa kũhoria mwaki ũcio.”","The strong will be like tinder, and his work like a spark. They will both burn together, and no one will quench them.”"
Isaiah 2:1,Ũyũ nĩguo ũhoro ũrĩa Isaia mũrũ wa Amozu onire ũkoniĩ Juda na Jerusalemu:,This is what Isaiah the son of Amoz saw concerning Judah and Jerusalem.
