Reference,Kikuyu,English
Jeremiah 1:1,"Maya nĩmo maũndũ marĩa maaririo nĩ Jeremia, mũrũ wa Hilikia, ũmwe wa athĩnjĩri-Ngai arĩa maatũũraga itũũra rĩa Anathothu kũu bũrũri wa Benjamini.*","The words of Jeremiah the son of Hilkiah, one of the priests who were in Anathoth in the land of Benjamin."
Jeremiah 1:2,"Ndũmĩrĩri ya Jehova nĩyamũkinyĩrĩire mwaka-inĩ wa ikũmi na ĩtatũ wa wathani wa Josia, mũrũ wa Amoni, mũthamaki wa Juda,","Yahweh’s† word came to him in the days of Josiah the son of Amon, king of Judah, in the thirteenth year of his reign."
Jeremiah 1:3,"o na ningĩ matukũ-inĩ ma wathani wa Jehoiakimu mũrũ wa Josia, mũthamaki wa Juda, o nginya mweri wa gatano, mwaka-inĩ wa ikũmi na ũmwe wa wathani wa Zedekia mũrũ wa Josia, mũthamaki wa Juda, rĩrĩa andũ a Jerusalemu maatahirwo.","It came also in the days of Jehoiakim the son of Josiah, king of Judah, to the end of the eleventh year of Zedekiah, the son of Josiah, king of Judah, to the carrying away of Jerusalem captive in the fifth month."
Jeremiah 1:4,"Ndũmĩrĩri ya Jehova nĩyanginyĩrire, ngĩĩrwo atĩrĩ,","Now Yahweh’s word came to me, saying,"
Jeremiah 1:5,"“Mbere ya gũkũũmba nda-inĩ ya maitũguo-rĩ, no ndaakũũĩ, o na ũtanaciarwo-rĩ, nĩndakwamũrĩte; nĩndagũtuire mũnabii wa kũrathagĩra ndũrĩrĩ.”","“Before I formed you in the womb, I knew you. Before you were born, I sanctified you. I have appointed you a prophet to the nations.”"
Jeremiah 1:6,"Na niĩ ngĩmũcookeria, ngiuga atĩrĩ: “Hĩ, Mwathani Jehova! Niĩ ndiũĩ kwaria; niĩ ndĩ o mwana.”","Then I said, “Ah, Lord‡ Yahweh! Behold,§ I don’t know how to speak; for I am a child.”"
Jeremiah 1:7,"Nowe Jehova akĩnjĩĩra atĩrĩ: “Tiga kuuga atĩrĩ, ‘Niĩ ndĩ o mwana.’ No nginya ũthiĩ kũrĩ mũndũ o wothe ngũgũtũma kũrĩ we na ũmwĩre ũrĩa wothe ngũgwatha.","But Yahweh said to me, “Don’t say, ‘I am a child;’ for you must go to whomever I send you, and you must say whatever I command you."
Jeremiah 1:8,"Ndũkanametigĩre, nĩgũkorwo ndĩ hamwe nawe, na nĩngakũhonokia,” ũguo nĩguo Jehova ekuuga.","Don’t be afraid because of them, for I am with you to rescue you,” says Yahweh."
Jeremiah 1:9,"Hĩndĩ ĩyo Jehova agĩtambũrũkia guoko, akĩĩhutia kanua, akĩnjĩĩra atĩrĩ, “Rĩu nĩndekĩra ndũmĩrĩri yakwa kanua gaku.","Then Yahweh stretched out his hand and touched my mouth. Then Yahweh said to me, “Behold, I have put my words in your mouth."
Jeremiah 1:10,"One, ũmũthĩ nĩndagũtua mũnene wa ndũrĩrĩ o na wa mothamaki, nĩgeetha ũmunyage na ũmomorage, wanangage na ũngʼaũranagie, na wakage na ũhaandage.”","Behold, I have today set you over the nations and over the kingdoms, to uproot and to tear down, to destroy and to overthrow, to build and to plant.”"
Jeremiah 1:11,"Ndũmĩrĩri ya Jehova nĩyanginyĩrire, ngĩũrio atĩrĩ: “Jeremia, nĩ kĩĩ ũroona?” Na niĩ ngĩcookia atĩrĩ, “Ndĩrona rũhonge rwa mũtĩ wa mũrothi.”","Moreover Yahweh’s word came to me, saying, “Jeremiah, what do you see?” I said, “I see a branch of an almond tree.”"
Jeremiah 1:12,"Jehova akĩnjĩĩra atĩrĩ, “Ĩĩ, nĩguo nĩwona wega, tondũ njũthĩrĩirie nyone atĩ ndũmĩrĩri yakwa nĩyahingio.”","Then Yahweh said to me, “You have seen well; for I watch over my word to perform it.”"
Jeremiah 1:13,"Ningĩ ndũmĩrĩri ya Jehova nĩyanginyĩrire o rĩngĩ ngĩũrio atĩrĩ: “Nĩ kĩĩ kĩngĩ ũrona?” Na niĩ ngĩcookia atĩrĩ, “Ndĩrona nyũngũ ĩgũtherũka, ĩinamĩte kuuma mwena wa gathigathini.”","Yahweh’s word came to me the second time, saying, “What do you see?” I said, “I see a boiling cauldron; and it is tipping away from the north.”"
Jeremiah 1:14,"Nake Jehova akĩnjĩĩra atĩrĩ, “Mwanangĩko uumĩte na mwena wa gathigathini, nĩũgaitĩrĩrio andũ othe arĩa matũũraga bũrũri ũyũ.","Then Yahweh said to me, “Out of the north, evil will break out on all the inhabitants of the land."
Jeremiah 1:15,"Ndĩ hakuhĩ gwĩta andũ othe a mothamaki ma gathigathini,” ũguo nĩguo Jehova ekuuga. “Athamaki ao nĩmagooka mahaande itĩ ciao cia ũthamaki matoonyero-inĩ ma ihingo cia Jerusalemu; nĩmagooka mathiũrũrũkĩrie thingo ciothe cia Jerusalemu, na mokĩrĩre matũũra mothe ma Juda.","For behold, I will call all the families of the kingdoms of the north,” says Yahweh. “They will come, and they will each set his throne at the entrance of the gates of Jerusalem, and against all its walls all around, and against all the cities of Judah."
Jeremiah 1:16,"Nĩngatuĩra andũ akwa matuĩro ma ciira, tondũ wa waganu wao wa kũndirika, na wa gũcinĩra ngai ingĩ ũbumba, na kũhooya indo iria methondekeire na moko mao.","I will utter my judgments against them concerning all their wickedness, in that they have forsaken me, and have burned incense to other gods, and worshiped the works of their own hands."
Jeremiah 1:17,"“Ũkĩra wĩhaarĩrie! Rũgama na ũmeere ũndũ o wothe ũrĩa ngũgwatha. Ndũkamakio nĩo, kana na niĩ ngũmakie ũrĩ mbere yao.","“You therefore put your belt on your waist, arise, and say to them all that I command you. Don’t be dismayed at them, lest I dismay you before them."
Jeremiah 1:18,"Ũmũthĩ-rĩ, nĩndagũtua ta itũũra rĩirige na hinya, na ta gĩtugĩ gĩa kĩgera, na ta rũthingo rwa gĩcango, nĩgeetha wĩyũmie ũũkĩrĩre bũrũri wothe: ũũkĩrĩre athamaki a Juda, na anene, na athĩnjĩri-Ngai akuo, o na andũ othe a bũrũri ũyũ.","For behold, I have made you today a fortified city, an iron pillar, and bronze walls against the whole land—against the kings of Judah, against its princes, against its priests, and against the people of the land."
Jeremiah 1:19,"Nĩmakarũa nawe no matigaakũhoota, nĩgũkorwo ndĩ hamwe nawe na nĩndĩrĩkũhonokagia,” ũguo nĩguo Jehova ekuuga. 2","They will fight against you, but they will not prevail against you; for I am with you”, says Yahweh, “to rescue you.” 2"
Jeremiah 2:1,"Ningĩ ndũmĩrĩri ya Jehova nĩyanginyĩrire, ngĩĩrwo atĩrĩ:","Yahweh’s word came to me, saying,"
Jeremiah 2:2,"“Thiĩ ũkaanĩrĩre ũkĩiguagwo nĩ andũ a Jerusalemu, ũmeere atĩrĩ: “ ‘Nĩndirikanaga ũrĩa weheanĩte kũrĩ niĩ rĩrĩa warĩ mwĩthĩ, na ũrĩa wanyendete rĩrĩa ndakũhikirie na ũkĩnũmĩrĩra kũu werũ-inĩ, tũgĩtuĩkanĩria kũu bũrũri ũcio ũtaahandagwo irio.","“Go and proclaim in the ears of Jerusalem, saying, ‘Yahweh says, “I remember for you the kindness of your youth, your love as a bride, how you went after me in the wilderness, in a land that was not sown."
Jeremiah 2:3,"Isiraeli-rĩ, aatũũrĩte aamũrĩirwo Jehova, arĩ maciaro ma mbere ma magetha make; arĩa othe maamũtambuuraga maatuirwo ahĩtia, nao magĩkinyĩrĩrwo nĩ mwanangĩko,’ ” ũguo nĩguo Jehova ekuuga.","Israel was holiness to Yahweh, the first fruits of his increase. All who devour him will be held guilty. Evil will come on them,” ’ says Yahweh.”"
Jeremiah 2:4,"Thikĩrĩriai mũigue ndũmĩrĩri ya Jehova, inyuĩ andũ a nyũmba ya Jakubu, inyuĩ inyuothe andũ a mĩhĩrĩga yothe ya nyũmba ya Isiraeli.","Hear Yahweh’s word, O house of Jacob, and all the families of the house of Israel!"
