Reference,Kikuyu,English
Mark 1:1,Kĩambĩrĩria kĩa Ũhoro-ũrĩa-Mwega ũkoniĩ Jesũ Kristũ Mũrũ wa Ngai.,"The beginning of the Good News of Jesus Christ, the Son of God."
Mark 1:2,"O ta ũrĩa kwandĩkĩtwo ibuku-inĩ rĩa Isaia ũrĩa mũnabii atĩrĩ: “Nĩngũtũma mũtũmwo wakwa athiĩ mbere yaku, ũrĩa ũgũgũthondekera njĩra yaku.”","As it is written in the prophets, “Behold,† I send my messenger before your face, who will prepare your way before you:*"
Mark 1:3,"“Kũrĩ mũgambo wa mũndũ ũkwanĩrĩra werũ-inĩ akoiga atĩrĩ, ‘Haarĩriai njĩra ya Mwathani, rũngariai njĩra ciake.’ ”","the voice of one crying in the wilderness, ‘Make ready the way of the Lord! Make his paths straight!’ ”*"
Mark 1:4,"Nĩ ũndũ ũcio Johana ookire akĩhunjagia, na akĩbatithanagĩria werũ-inĩ. Aahunjagia atĩ andũ merire, nĩguo marekerwo mehia mao, nĩgeetha mabatithio.",John came baptizing‡ in the wilderness and preaching the baptism of repentance for forgiveness of sins.
Mark 1:5,"Nao andũ othe a bũrũri wa Judea na andũ othe a Jerusalemu magĩthiĩ kũrĩ we. Moimbũraga mehia mao, nake akamabatithĩria rũũĩ-inĩ rwa Jorodani.","All the country of Judea and all those of Jerusalem went out to him. They were baptized by him in the Jordan river, confessing their sins."
Mark 1:6,"Johana ehumbaga nguo ciathondeketwo na guoya wa ngamĩĩra, na nĩehotoraga mũcibi wa rũũa njohero, na aarĩĩaga ngigĩ na ũũkĩ wa gĩthaka.",John was clothed with camel’s hair and a leather belt around his waist. He ate locusts and wild honey.
Mark 1:7,"Nayo ndũmĩrĩri yake yarĩ ĩno: “Thuutha wakwa nĩgũgũũka mũndũ ũngĩ ũrĩ na hinya kũngĩra, ũrĩa niĩ itagĩrĩire kũinamĩrĩra njohore ndigi cia iraatũ ciake.","He preached, saying, “After me comes he who is mightier than I, the strap of whose sandals I am not worthy to stoop down and loosen."
Mark 1:8,"Niĩ ndĩmũbatithagia na maaĩ, nowe arĩmũbatithagia na Roho Mũtheru.”","I baptized you in§ water, but he will baptize you in the Holy Spirit.”"
Mark 1:9,"Na rĩrĩ, ihinda o rĩu Jesũ agĩũka oimĩte Nazarethi kũu Galili, na akĩbatithio nĩ Johana rũũĩ- inĩ rwa Jorodani.","In those days, Jesus came from Nazareth of Galilee, and was baptized by John in the Jordan."
Mark 1:10,"Na rĩrĩa Jesũ oimĩraga maaĩ-inĩ akĩona igũrũ rĩahingũka, nake Roho Mũtheru akĩmũikũrũkĩra ahaana ta ndutura.","Immediately coming up from the water, he saw the heavens parting and the Spirit descending on him like a dove."
Mark 1:11,"Mũgambo ũkiuma igũrũ ũkiuga atĩrĩ, “We nĩwe Mũrũ wakwa ũrĩa nyendete, na nĩngenaga mũno nĩwe.”","A voice came out of the sky, “You are my beloved Son, in whom I am well pleased.”"
Mark 1:12,"Na o rĩmwe Roho akĩmuoya akĩmũtwara werũ-inĩ,",Immediately the Spirit drove him out into the wilderness.
Mark 1:13,"na agĩikara kũu werũ-inĩ matukũ mĩrongo ĩna, akĩgeragio nĩ Shaitani. Nake aikaranagia na nyamũ cia gĩthaka, nao araika makamũtungatagĩra.","He was there in the wilderness forty days, tempted by Satan. He was with the wild animals; and the angels were serving him."
Mark 1:14,"Thuutha wa Johana gũikio njeera, Jesũ agĩthiĩ Galili akĩhunjagia Ũhoro-ũrĩa-Mwega wa Ngai,","Now after John was taken into custody, Jesus came into Galilee, preaching the Good News of God’s Kingdom,"
