Reference,Kikuyu,English
Matthew 1:1,"aya nĩ maandĩko makoniĩ rũciaro rũrĩa Jesũ Kristũ, mũrũ wa Daudi, mũrũ wa Iburahĩmu oimire:","he book of the genealogy of Jesus Christ,† the son of David, the son of Abraham."
Matthew 1:2,"Iburahĩmu aarĩ ithe wa Isaaka, nake Isaaka aarĩ ithe wa Jakubu, nake Jakubu aarĩ ithe wa Juda na ariũ a ithe,",Abraham became the father of Isaac. Isaac became the father of Jacob. Jacob became the father of Judah and his brothers.
Matthew 1:3,"nake Juda aarĩ ithe wa Perezu na Zera, arĩa nyina wao aarĩ Tamaru, nake Perezu aarĩ ithe wa Hezironi, nake Hezironi aarĩ ithe wa Ramu,",Judah became the father of Perez and Zerah by Tamar. Perez became the father of Hezron. Hezron became the father of Ram.
Matthew 1:4,"nake Ramu aarĩ ithe wa Aminadabu, nake Aminadabu aarĩ ithe wa Nahashoni, nake Nahashoni aarĩ ithe wa Salimoni,",Ram became the father of Amminadab. Amminadab became the father of Nahshon. Nahshon became the father of Salmon.
Matthew 1:5,"nake Salimoni aarĩ ithe wa Boazu, ũrĩa nyina aarĩ Rahabu, nake Boazu aarĩ ithe wa Obedi, ũrĩa nyina aarĩ Ruthu, nake Obedi aarĩ ithe wa Jesii,",Salmon became the father of Boaz by Rahab. Boaz became the father of Obed by Ruth. Obed became the father of Jesse.
Matthew 1:6,"nake Jesii aarĩ ithe wa Mũthamaki Daudi. Daudi aarĩ ithe wa Solomoni, ũrĩa nyina aarĩ mũtumia wa Uria,",Jesse became the father of King David. David the king‡ became the father of Solomon by her who had been Uriah’s wife.
Matthew 1:7,"nake Solomoni aarĩ ithe wa Rehoboamu, nake Rehoboamu aarĩ ithe wa Abija, nake Abija aarĩ ithe wa Asa,",Solomon became the father of Rehoboam. Rehoboam became the father of Abijah. Abijah became the father of Asa.
Matthew 1:8,"nake Asa aarĩ ithe wa Jehoshafatu, nake Jehoshafatu aarĩ ithe wa Joramu, nake Joramu aarĩ ithe wa Uzia,",Asa became the father of Jehoshaphat. Jehoshaphat became the father of Joram. Joram became the father of Uzziah.
Matthew 1:9,"nake Uzia aarĩ ithe wa Jothamu, nake Jothamu aarĩ ithe wa Ahazu, nake Ahazu aarĩ ithe wa Hezekia,",Uzziah became the father of Jotham. Jotham became the father of Ahaz. Ahaz became the father of Hezekiah.
Matthew 1:10,"nake Hezekia aarĩ ithe wa Manase, nake Manase aarĩ ithe wa Amoni, nake Amoni aarĩ ithe wa Josia,",Hezekiah became the father of Manasseh. Manasseh became the father of Amon. Amon became the father of Josiah.
Matthew 1:11,"nake Josia aarĩ ithe wa Jekonia na ariũ a ithe, hĩndĩ ĩrĩa andũ maatahirwo, magĩtwarwo Babuloni.",Josiah became the father of Jechoniah and his brothers at the time of the exile to Babylon.
Matthew 1:12,"Thuutha wa gũtahwo, magĩtwarwo kũu Babuloni: Jekonia aarĩ ithe wa Shealitieli, nake Shealitieli aarĩ ithe wa Zerubabeli,","After the exile to Babylon, Jechoniah became the father of Shealtiel. Shealtiel became the father of Zerubbabel."
Matthew 1:13,"nake Zerubabeli aarĩ ithe wa Abihudu, nake Abihudu aarĩ ithe wa Eliakimu, nake Eliakimu aarĩ ithe wa Azoro,",Zerubbabel became the father of Abiud. Abiud became the father of Eliakim. Eliakim became the father of Azor.
Matthew 1:14,"nake Azoro aarĩ ithe wa Zadoku, nake Zadoku aarĩ ithe wa Akimu, nake Akimu aarĩ ithe wa Eliudi,",Azor became the father of Zadok. Zadok became the father of Achim. Achim became the father of Eliud.
Matthew 1:15,"nake Eliudi aarĩ ithe wa Eleazaru, nake Eleazaru aarĩ ithe wa Maathani, nake Maathani aarĩ ithe wa Jakubu,",Eliud became the father of Eleazar. Eleazar became the father of Matthan. Matthan became the father of Jacob.
Matthew 1:16,"nake Jakubu aarĩ ithe wa Jusufu, mũthuuri wa Mariamu, ũrĩa waciarire Jesũ, ũrĩa wĩtagwo","Jacob became the father of Joseph, the husband of Mary, from whom was born Jesus,§ who is called Christ."
Matthew 1:17,"Ũguo nĩ kuuga njiaro ciothe ciarĩ ikũmi na inya kuuma Iburahĩmu nginya Daudi, na njiaro ikũmi na inya kuuma Daudi nginya hĩndĩ ĩrĩa andũ maatahirwo magĩtwarwo kũu Babuloni, na ningĩ njiaro ikũmi na inya kuuma hĩndĩ ĩrĩa andũ maatahirwo nginya hĩndĩ ya Kristũ.* Gũciarwo kwa Jesũ Kristũ","So all the generations from Abraham to David are fourteen generations; from David to the exile to Babylon fourteen generations; and from the carrying away to Babylon to the Christ, fourteen generations."
Matthew 1:18,"Ũhoro wa gũciarwo kwa Jesũ Kristũ watariĩ ũũ: Nyina Mariamu nĩ oorĩtio nĩ Jusufu atuĩke mũtumia wake, no matanaikarania-rĩ, nĩamenyekire atĩ arĩ na nda ya Roho Mũtheru.","Now the birth of Jesus Christ was like this: After his mother, Mary, was engaged to Joseph, before they came together, she was found pregnant by the Holy Spirit."
Matthew 1:19,"Nake Jusufu mũthuuri wake tondũ aarĩ mũndũ mũthingu na ndangĩendire kũmũconorithia kũrĩ andũ, agĩĩciiria amũtige na hitho.","Joseph, her husband, being a righteous man, and not willing to make her a public example, intended to put her away secretly."
Matthew 1:20,"No thuutha wa gwĩciiria ũndũ ũcio, mũraika wa Mwathani akĩmuumĩrĩra kĩroto-inĩ, akĩmwĩra atĩrĩ, “Jusufu, mũrũ wa Daudi, ndũkae gwĩtigĩra kũhikia Mariamu atuĩke mũtumia waku, tondũ nda ĩyo arĩ nayo nĩ ya Roho Mũtheru.","But when he thought about these things, behold,† an angel of the Lord appeared to him in a dream, saying, “Joseph, son of David, don’t be afraid to take to yourself Mary as your wife, for that which is conceived in her is of the Holy Spirit."
Matthew 1:21,"Nĩagaciara kahĩĩ, nawe nĩũgagatua Jesũ, tondũ nĩwe ũkaahonokia andũ ake kuuma mehia-inĩ mao.”","She shall give birth to a son. You shall name him Jesus,‡ for it is he who shall save his people from their sins.”"
Matthew 1:22,"Na rĩrĩ, maũndũ macio mothe meekĩkire nĩguo ũrĩa Mwathani aarĩtie na kanua ka mũnabii ũhinge, rĩrĩa oigire atĩrĩ,","Now all this has happened that it might be fulfilled which was spoken by the Lord through the prophet, saying,"
Matthew 1:23,"“Mũirĩtu gathirange nĩakagĩa nda na nĩagaciara kahĩĩ, nao magaagatua Imanueli” ũguo naguo ũgĩtaũrwo nĩ kuuga, “Ngai hamwe na ithuĩ.”","“Behold, the virgin shall be with child, and shall give birth to a son. They shall call his name Immanuel,” which is, being interpreted, “God with us.”*"
Matthew 1:24,"Rĩrĩa Jusufu ookĩrire, agĩĩka o ta ũrĩa mũraika wa Mwathani aamwathĩte, nake akĩinũkia Mariamu gwake mũciĩ, agĩtuĩka mũtumia wake.","Joseph arose from his sleep, and did as the angel of the Lord commanded him, and took his wife to himself;"
