Reference,Kikuyu,English
Philippians 1:1,"Nĩ ithuĩ Paũlũ na Timotheo, ngombo cia Kristũ Jesũ, Marũa maya tũrandĩkĩra andũ othe arĩa aamũre thĩinĩ wa Kristũ Jesũ arĩa mũrĩ kũu Filipi, hamwe na arori a kanitha, o na atungati aguo.","Paul and Timothy, servants of Jesus Christ,† to all the saints in Christ Jesus who are at Philippi, with the overseers‡ and servants:§"
Philippians 1:2,"Mũrogĩa na wega na thayũ ciumĩte kũrĩ Ngai Ithe witũ, na Mwathani Jesũ Kristũ.",Grace to you and peace from God our Father and the Lord Jesus Christ.
Philippians 1:3,Nĩnjookagĩria Ngai wakwa ngaatho rĩrĩa rĩothe ndaamũririkana.,"I thank my God whenever I remember you,"
Philippians 1:4,"Rĩrĩa rĩothe ngũmũhoera inyuothe-rĩ, ndĩmũhooyagĩra hĩndĩ ciothe ngenete.","always in every request of mine on behalf of you all, making my requests with joy,"
Philippians 1:5,"Tondũ wa ngwatanĩro iitũ na inyuĩ harĩ Ũhoro- ũrĩa-Mwega, kuuma o mũthenya wa mbere nginya rĩu.",for your partnership† in furtherance of the Good News from the first day until now;
Philippians 1:6,"Niĩ nĩnjũũĩ ũndũ ũyũ na ma, atĩ Ngai ũrĩa waambĩrĩirie wĩra mwega thĩinĩ wanyu nĩegũthiĩ na mbere kũũruta, na ndekũũtigithĩria ataũrĩkĩtie nginya mũthenya ũrĩa Kristũ Jesũ agaacooka.","being confident of this very thing, that he who began a good work in you will complete it until the day of Jesus Christ."
Philippians 1:7,"Kuona atĩ mũkoragwo mũrĩ ngoro-inĩ yakwa, nĩ njagĩrĩirwo nĩkũigua ũguo nĩ ũndũ wanyu inyuothe; tondũ-rĩ, kana nĩ kuohwo njohetwo na mĩnyororo, kana nĩ kũrũĩrĩra na gwĩkĩra hinya Ũhoro-ũrĩa-Mwega, inyuĩ inyuothe nĩmũgwatanagĩra na niĩ thĩinĩ wa wega wa Ngai.","It is even right for me to think this way on behalf of all of you, because I have you in my heart, because both in my bonds and in the defense and confirmation of the Good News, you all are partakers with me of grace."
Philippians 1:8,Ngai nĩ mũira wakwa atĩ nĩndĩmwĩriragĩria inyuothe ndĩ na wendo wa Kristũ Jesũ.,"For God is my witness, how I long after all of you in the tender mercies of Christ Jesus."
Philippians 1:9,"Na ũrĩa hooyaga nĩ atĩrĩ: atĩ wendani wanyu ũingĩhe mũno makĩria, mũkĩongagĩrĩrwo ũmenyo na ũkuũku wothe,","This I pray, that your love may abound yet more and more in knowledge and all discernment,"
Philippians 1:10,"nĩgeetha mũhotage gũkũũrana maũndũ marĩa magĩrĩire makĩria ya marĩa mangĩ, na mũkoragwo mũrĩ atheru na mũtarĩ na ũcuuke o nginya mũthenya ũrĩa wa Kristũ,","so that you may approve the things that are excellent, that you may be sincere and without offense to the day of Christ,"
