Reference,Kikuyu,English
Proverbs 1:1,"Ici nĩ thimo cia Solomoni mũrũ wa Daudi, ũrĩa warĩ mũthamaki wa Isiraeli:","The proverbs of Solomon, the son of David, king of Israel:"
Proverbs 1:2,"nĩ thimo cia gũtũma mũndũ agĩe na ũũgĩ, na ataarĩke; nĩ cia gũtũma ahote gũtaũkĩrwo nĩ ciugo cia ũũgĩ;",to know wisdom and instruction; to discern the words of understanding;
Proverbs 1:3,"nĩ cia gũtũma mũndũ ataarĩke ahote kũbarĩrĩra mũtũũrĩre wake, ekage maũndũ marĩa magĩrĩire, na ma kĩhooto, na marĩa mega;","to receive instruction in wise dealing, in righteousness, justice, and equity;"
Proverbs 1:4,"nĩ cia gũtũma ũrĩa ũtarĩ na ũũgĩ agĩe na ũmenyo, na cia gũtũma mũndũ mwĩthĩ agĩe na ũmenyo na ũgereri:","to give prudence to the simple, knowledge and discretion to the young man—"
Proverbs 1:5,"arĩa oogĩ-rĩ, nĩmathikĩrĩrie na mongerere wĩruti wao, nao arĩa akũũrani maũndũ metĩkĩre gũtongorio.","that the wise man may hear, and increase in learning; that the man of understanding may attain to sound counsel;"
Proverbs 1:6,"Ningĩ nĩ cia gũtũma mũndũ ataũkĩrwo nĩ thimo na ngerekano, na ataũkĩrwo nĩ ciugo cia andũ arĩa oogĩ, na ndaĩ ciao.","to understand a proverb and parables, the words and riddles of the wise."
Proverbs 1:7,"Kĩambĩrĩria kĩa ũmenyo nĩ gwĩtigĩra Jehova, no arĩa akĩĩgu nĩ mathũire ũũgĩ na ũtaaro.","The fear of Yahweh† is the beginning of knowledge, but the foolish despise wisdom and instruction."
Proverbs 1:8,"Mũrũ wakwa, thikĩrĩria mataaro ma thoguo, na ndũgatigane na ũrutani wa maitũguo.","My son, listen to your father’s instruction, and don’t forsake your mother’s teaching;"
Proverbs 1:9,"Maũndũ macio magaatuĩka ithaga rĩa kũgemia mũtwe waku, na ta mũgathĩ wa kũgemia ngingo yaku.","for they will be a garland to grace your head, and chains around your neck."
Proverbs 1:10,"Mũrũ wakwa, ehia mangĩgakũheenereria-rĩ, ndũkanetĩkanie nao.","My son, if sinners entice you, don’t consent."
Proverbs 1:11,"Mangĩgakwĩra atĩrĩ, “Ũka ũthiĩ hamwe na ithuĩ; reke tuoherie mũndũ tũite thakame yake, reke tũcemaceeme mũndũ o na ũtehĩtie;","If they say, “Come with us. Let’s lie in wait for blood. Let’s lurk secretly for the innocent without cause."
Proverbs 1:12,"ningĩ reke tũmamerie marĩ muoyo, o ta ũrĩa mbĩrĩra ĩĩkaga, na marĩ agima, o ta arĩa maharũrũkaga irima;","Let’s swallow them up alive like Sheol,‡ and whole, like those who go down into the pit."
Proverbs 1:13,"Na ithuĩ-rĩ, tũkĩgĩe na indo cia goro cia mĩthemba yothe, na tũiyũrie nyũmba ciitũ na indo cia ndaho;",We’ll find all valuable wealth. We’ll fill our houses with plunder.
Proverbs 1:14,"rutithania wĩra na ithuĩ, tũkorwo na mũhuko ũmwe ithuothe”;",You shall cast your lot among us. We’ll all have one purse”—
Proverbs 1:15,"mũrũ wakwa, tiga gũtwarana nao, ndũkagerere njĩra ciao;","my son, don’t walk on the path with them. Keep your foot from their path,"
Proverbs 1:16,"nĩgũkorwo magũrũ mao mahanyũkaga mathiĩ mehia-inĩ, nao mahiũhaga magaite thakame.",for their feet run to evil. They hurry to shed blood.
Proverbs 1:17,Kaĩ nĩ wĩra wa tũhũ kũiga gĩkerenge nyoni ciothe igĩkuonaga-ĩ!,For the net is spread in vain in the sight of any bird;
Proverbs 1:18,Andũ aya mohagĩria thakame yao ene; maceemaga o mĩoyo yao ene!,but these lay in wait for their own blood. They lurk secretly for their own lives.
Proverbs 1:19,Ũcio nĩguo mũthia wa arĩa othe magĩaga na indo na njĩra ya ungumania; indo icio iniinaga mĩoyo ya arĩa magĩaga nacio.,So are the ways of everyone who is greedy for gain. It takes away the life of its owners.
Proverbs 1:20,"Ũũgĩ nĩ aretana anĩrĩire njĩra-inĩ, ningĩ agakayũrũrũka arĩ ihaaro-inĩ cia mũingĩ;",Wisdom calls aloud in the street. She utters her voice in the public squares.
