Reference,Kikuyu,English
Psalms 1:1,"Kũrathimwo-rĩ, nĩ mũndũ ũrĩa ũtatwaranaga na ũtaaro wa andũ arĩa aaganu, kana akarũgama njĩra-inĩ ya andũ arĩa mehagia, o na kana agaikarĩra gĩtĩ kĩa arĩa manyũrũranagia.","1 Blessed is the man who doesn’t walk in the counsel of the wicked, nor stand on the path of sinners, nor sit in the seat of scoffers;"
Psalms 1:2,"No rĩrĩ, nĩ watho wa Jehova akenagĩra, na agecũũranagia ũhoro wa watho wake kũrĩ mũthenya kana ũtukũ.",but his delight is in Yahweh’s† law. On his law he meditates day and night.
Psalms 1:3,"Mũndũ ũcio ahaana ta mũtĩ mũhaande tũmĩtaro-inĩ twa maaĩ, naguo ũciaraga maciaro maguo hĩndĩ ya mo yakinya, namo mathangũ maguo matihoohaga. Na rĩrĩ, ũndũ o wothe ekaga nĩũgaacagĩra.","He will be like a tree planted by the streams of water, that produces its fruit in its season, whose leaf also does not wither. Whatever he does shall prosper."
Psalms 1:4,No andũ arĩa aaganu matihaana ũguo! Mahaana ta mũũngũ ũrĩa ũmbũragwo nĩ rũhuho.,"The wicked are not so, but are like the chaff which the wind drives away."
Psalms 1:5,"Nĩ ũndũ ũcio andũ arĩa aaganu matigetiiria ciira-inĩ, kana andũ arĩa ehia metiirie kĩũngano-inĩ kĩa andũ arĩa athingu.","Therefore the wicked shall not stand in the judgment, nor sinners in the congregation of the righteous."
Psalms 1:6,"Nĩgũkorwo Jehova nĩamenyagĩrĩra njĩra ya andũ arĩa athingu, no andũ arĩa aaganu marĩ njĩra-inĩ ya kũũra.","For Yahweh knows the way of the righteous, but the way of the wicked shall perish."
Psalms 2:1,Nĩ kĩĩ gĩtũmaga ndũrĩrĩ iciirĩre gwĩka ũũru na andũ mathugunde maũndũ ma tũhũ?,"Why do the nations rage, and the peoples plot a vain thing?"
Psalms 2:2,"Athamaki a thĩ nĩmatuĩte itua, na aathani magacookania ndundu nĩguo mookĩrĩre Jehova, na mookĩrĩre Ũrĩa wake Mũitĩrĩrie Maguta.","The kings of the earth take a stand, and the rulers take counsel together, against Yahweh, and against his Anointed,† saying,"
Psalms 2:3,"Moigaga atĩrĩ, “Nĩtwĩohorei mĩnyororo yao, na mabĩngũ mao tũmate matweherere.”","“Let’s break their bonds apart, and cast their cords from us.”"
Psalms 2:4,"Ũrĩa ũikarĩire gĩtĩ kĩa ũnene kũu igũrũ no gũtheka aratheka; We Mwathani-rĩ, nĩkũnyũrũria aramanyũrũria.",He who sits in the heavens will laugh. The Lord‡ will have them in derision.
Psalms 2:5,"Ningĩ agacooka akamakũũma arakarĩte, na akamekĩra guoya mũnene angʼũrĩkĩte akameera atĩrĩ,","Then he will speak to them in his anger, and terrify them in his wrath:"
Psalms 2:6,"“Niĩ nĩ niĩ njigĩte Mũthamaki wakwa kũu Zayuni, kĩrĩma-inĩ gĩakwa kĩrĩa kĩamũre.”",“Yet I have set my King on my holy hill of Zion.”
