Reference,Kikuyu,English
1 Thessalonians 1:1,"Nĩ ithuĩ Paũlũ na Sila, na Timotheo, Twandĩkĩra kanitha wa Athesalonike marũa maya ũrĩa ũrĩ thĩinĩ wa Ngai Ithe witũ o na Mwathani Jesũ Kristũ. Wega na thayũ wa Ngai irogĩa na inyuĩ.","Paul, Silvanus, and Timothy, to the assembly of the Thessalonians in God the Father and the Lord Jesus Christ:† Grace to you and peace from God our Father and the Lord Jesus Christ."
1 Thessalonians 1:2,"Nĩtũcookagĩria Ngai ngaatho hĩndĩ ciothe nĩ ũndũ wanyu inyuothe, tũkĩmũgwetaga mahooya-inĩ maitũ.","We always give thanks to God for all of you, mentioning you in our prayers,"
1 Thessalonians 1:3,"Rĩrĩa tũkũmũhoera tũrĩ mbere ya Ngai o we Ithe witũ-rĩ, nĩtũririkanaga tũtegũtigithĩria wĩra wanyu ũrĩa uumanĩte na gwĩtĩkia, na kwĩnogia kwanyu kũrĩa kũrehagwo nĩ wendani, o na gũkirĩrĩria kwanyu, kũrĩa kuumanĩte na kĩĩrĩgĩrĩro thĩinĩ wa Mwathani witũ Jesũ Kristũ.","remembering without ceasing your work of faith and labor of love and perseverance of hope in our Lord Jesus Christ, before our God and Father."
1 Thessalonians 1:4,"Nĩgũkorwo, ariũ na aarĩ a Ithe witũ inyuĩ mwendetwo nĩ Ngai, ithuĩ nĩtũũĩ atĩ nĩmwathuurirwo nĩwe,","We know, brothers‡ loved by God, that you are chosen,"
1 Thessalonians 1:5,"tondũ Ũhoro-ũrĩa-Mwega tũhunjagia, tũtiamũreheire ũrĩ o ciugo theri, no twamũreheire ũrĩ na hinya, na ũrĩ na Roho Mũtheru, o na ũrĩ na ihooto itangĩthanganio. Ningĩ inyuĩ nĩmũũĩ ũrĩa twaikaraga na inyuĩ nĩ ũndũ wa kũmũguna.","and that our Good News came to you not in word only, but also in power, and in the Holy Spirit and with much assurance. You know what kind of men we showed ourselves to be among you for your sake."
1 Thessalonians 1:6,"Inyuĩ mwatuĩkire a kwĩgerekania na ithuĩ, o na mũgĩtuĩka a kwĩgerekania na Mwathani, o na gũtuĩka mwarĩ na mĩnyamaro mĩingĩ, nĩmwamũkĩrire ũhoro wake mũrĩ na gĩkeno kĩrĩa kĩheanagwo nĩ Roho Mũtheru.","You became imitators of us and of the Lord, having received the word in much affliction, with joy of the Holy Spirit,"
1 Thessalonians 1:7,"Na nĩ ũndũ ũcio mũgĩtuĩka kĩonereria kũrĩ andũ arĩa othe metĩkĩtie kũu Makedonia, o na Akaia.",so that you became an example to all who believe in Macedonia and in Achaia.
1 Thessalonians 1:8,"Naguo ũhoro wa Mwathani nĩwahunjire uumĩte kũrĩ inyuĩ, na to Makedonia na Akaia gwiki, no rĩrĩ, o na wĩtĩkio wanyu thĩinĩ wa Ngai nĩũmenyekete kũndũ guothe. Nĩ ũndũ ũcio tũtibataire kuuga ũndũ ũhoro-inĩ ũcio,","For from you the word of the Lord has been declared, not only in Macedonia and Achaia, but also in every place your faith toward God has gone out, so that we need not say anything."
1 Thessalonians 1:9,"nĩgũkorwo andũ o ene nĩo maheanaga ũhoro wa ũrĩa mwatũnyiitire ũgeni. Nĩmaheanaga ũhoro wa ũrĩa mwagarũrũkĩire Ngai, mũgĩtigana na mĩhianano nĩguo mũtungatagĩre Ngai ũrĩa ũrĩ muoyo na ũrĩa wa ma,","For they themselves report concerning us what kind of a reception we had from you, and how you turned to God from idols to serve a living and true God,"
1 Thessalonians 1:10,"na mwetagĩrĩre Mũriũ oime igũrũ, ũrĩa aariũkirie kuuma kũrĩ arĩa akuũ, nake nĩwe Jesũ, ũrĩa ũtũhonokagia kuuma kũrĩ mangʼũrĩ marĩa magooka.","and to wait for his Son from heaven, whom he raised from the dead: Jesus, who delivers us from the wrath to come."
1 Thessalonians 2:1,"Inyuĩ ariũ na aarĩ a Ithe witũ, nĩmũũĩ atĩ gũũka gwitũ kũrĩ inyuĩ gũtiarĩ gwa tũhũ.","For you yourselves know, brothers, our visit to you wasn’t in vain,"
1 Thessalonians 2:2,"Mbere ĩyo nĩtwathĩĩnirio na tũkĩrumwo rĩrĩa twarĩ kũu Filipi, o ta ũrĩa inyuĩ mũũĩ, no nĩ ũndũ wa gũteithio nĩ Ngai witũ, nĩtuomĩrĩirie na tũkĩmũhe Ũhoro-ũrĩa-Mwega, o na akorwo nĩtwakararirio mũno.","but having suffered before and been shamefully treated, as you know, at Philippi, we grew bold in our God to tell you the Good News of God in much conflict."
1 Thessalonians 2:3,"Nĩgũkorwo gũthaithana gwitũ gũtiumanĩte na ihĩtia, kana matanya ma maũndũ ma waganu, o na kana ma wara.","For our exhortation is not of error, nor of uncleanness, nor in deception."
1 Thessalonians 2:4,"No rĩrĩ, ithuĩ nĩ kwaria twaragia ta andũ maamũrĩtwo nĩ Ngai a kwĩhokerwo Ũhoro- ũrĩa-Mwega. Ithuĩ ti andũ tũrageria gũkenia, no nĩ Ngai, o we ũgeragia ngoro ciitũ.","But even as we have been approved by God to be entrusted with the Good News, so we speak—not as pleasing men, but God, who tests our hearts."
1 Thessalonians 2:5,"Inyuĩ nĩmũũĩ atĩ ithuĩ ti ndeto cia kwĩyendereria twaragia, o na kana tũkahithĩrĩra ũhoro wa gũkorokera indo; Ngai nĩwe mũira witũ.","For neither were we at any time found using words of flattery, as you know, nor a cloak of covetousness (God is witness),"
1 Thessalonians 2:6,"Ithuĩ tũtiacaragia kũganwo nĩ andũ, arĩ inyuĩ kana mũndũ ũngĩ o wothe. Tondũ tũrĩ atũmwo a Kristũ-rĩ, nĩtũngĩatuĩkire mũrigo kũrĩ inyuĩ,","nor seeking glory from men (neither from you nor from others), when we might have claimed authority as apostles of Christ."
1 Thessalonians 2:7,"no nĩtwaikarire na inyuĩ tũhooreire, o ta ũrĩa nyina wa ciana nini amenyagĩrĩra ciana ciake mwene.","But we were gentle among you, like a nursing mother cherishes her own children."
1 Thessalonians 2:8,"Nĩ tondũ wa ũrĩa twamwendete mũno, nĩtwakenagio nĩkũgwatanĩra na inyuĩ, na to Ũhoro-inĩ-ũrĩa-Mwega wa Ngai wiki, no nĩtwagwatanĩire mĩtũũrĩre-inĩ iitũ o nayo, tondũ nĩmwatuĩkĩte andũ twendete mũno.","Even so, affectionately longing for you, we were well pleased to impart to you not the Good News of God only, but also our own souls, because you had become very dear to us."
1 Thessalonians 2:9,"Ti- itherũ nĩmũkũririkana, inyuĩ ariũ na aarĩ a Ithe witũ, wĩra witũ wa hinya na kwĩnogia gwitũ; twarutaga wĩra ũtukũ na mũthenya nĩguo tũtigatuĩke mũrigo harĩ mũndũ o na ũrĩkũ hĩndĩ ĩrĩa twamũhunjagĩria Ũhoro-ũrĩa-Mwega wa Ngai.","For you remember, brothers, our labor and travail; for working night and day, that we might not burden any of you, we preached to you the Good News of God."
1 Thessalonians 2:10,"Inyuĩ mũrĩ aira, o na Ngai no mũira, ũrĩa twatũire na inyuĩ arĩa mwĩtĩkĩtie tũrĩ atheru, na tũrĩ athingu, na tũtarĩ na ũcuuke.","You are witnesses with God how holy, righteously, and blamelessly we behaved ourselves toward you who believe."
1 Thessalonians 2:11,"Ningĩ nĩmũũĩ atĩ twekaga mũndũ o mũndũ wanyu o ta ũrĩa ithe wa ciana ekaga ciana ciake mwene,","As you know, we exhorted, comforted, and implored every one of you, as a father does his own children,"
1 Thessalonians 2:12,"tũkamũmagĩrĩria, na tũkamũhooreragia, o na tũkamũringagĩrĩria mũtũũre mĩtũũrĩre yaganĩrĩire na ũrĩa Ngai endaga, o we ũmwĩtaga mũtoonye thĩinĩ wa ũthamaki wake, na mũgĩe na riiri wake.","to the end that you should walk worthily of God, who calls you into his own Kingdom and glory."
1 Thessalonians 2:13,"O na ningĩ nĩtũcookagĩria Ngai ngaatho tũtegũtigithĩria tondũ rĩrĩa mwamũkĩrire kiugo kĩa Ngai, kĩrĩa mwaiguire kuuma kũrĩ ithuĩ, mũtiakĩamũkĩrire taarĩ kiugo kĩa andũ, no mwakĩamũkĩrire ta kiugo kĩa Ngai, na nĩ ma, ũguo nĩguo kĩrĩ, na nĩkĩo kĩrutaga wĩra thĩinĩ wanyu inyuĩ mwĩtĩkĩtie.","For this cause we also thank God without ceasing that when you received from us the word of the message of God, you accepted it not as the word of men, but as it is in truth, God’s word, which also works in you who believe."
1 Thessalonians 2:14,"Nĩgũkorwo inyuĩ, ariũ na aarĩ a Ithe witũ, nĩmwatuĩkire a kwĩgerekania na makanitha ma Ngai marĩa marĩ thĩinĩ wa Kristũ Jesũ kũrĩa Judea: Nĩmwanyamaririo nĩ andũ a bũrũri wanyu na mĩnyamaro o ĩrĩa andũ a makanitha macio maanyamaragio nayo nĩ Ayahudi,","For you, brothers, became imitators of the assemblies of God which are in Judea in Christ Jesus; for you also suffered the same things from your own countrymen, even as they did from the Jews"
1 Thessalonians 2:15,"o arĩa mooragire Mwathani Jesũ, na makĩũraga anabii, o na ithuĩ magĩtũingata. Nĩmarakaragia Ngai, na nĩ marĩ ũthũ na andũ othe","who killed both the Lord Jesus and their own prophets, and drove us out, and don’t please God, and are contrary to all men,"
1 Thessalonians 2:16,nĩ ũndũ wa kũgeria gũtũgiria tũtikahunjĩrie andũ-a-Ndũrĩrĩ ũhoro nĩgeetha mahonoke. Ũguo nĩguo meyongagĩrĩra mehia makamaiyũrĩrĩra. Namo mangʼũrĩ ma Ngai nĩmamakinyĩire.,"forbidding us to speak to the Gentiles that they may be saved, to fill up their sins always. But wrath has come on them to the uttermost."
1 Thessalonians 2:17,"No rĩrĩ, ariũ na aarĩ a Ithe witũ, hĩndĩ ĩrĩa twatigithanirio na inyuĩ gwa kahinda kanini-rĩ, (ha ũhoro wa mwĩrĩ, no ti wa ngoro), nĩtwerutanĩirie na kĩyo kĩnene nĩgeetha tuonane na inyuĩ tondũ nĩtwamwĩriragĩria mũno.","But we, brothers, being bereaved of you for a short season in presence, not in heart, tried even harder to see your face with great desire,"
1 Thessalonians 2:18,"Nĩgũkorwo nĩtwendete mũno gũũka kũrĩ inyuĩ, na makĩria niĩ Paũlũ, nĩndageririe maita maingĩ no Shaitani nĩatũgiririe.","because we wanted to come to you—indeed, I, Paul, once and again—but Satan hindered us."
1 Thessalonians 2:19,"Nĩ ũndũ-rĩ, kĩĩrĩgĩrĩro giitũ gĩkĩrĩ kĩrĩkũ, kana gĩkeno giitũ, kana thũmbĩ ĩrĩa tũngĩĩraha nayo mbere ya Mwathani witũ Jesũ rĩrĩa agooka? Githĩ ti inyuĩ?","For what is our hope, or joy, or crown of rejoicing? Isn’t it even you, before our Lord Jesus† at his coming?"
1 Thessalonians 2:20,"Ti-itherũ, inyuĩ nĩ inyuĩ riiri witũ na gĩkeno giitũ.",For you are our glory and our joy.
1 Thessalonians 3:1,"Nĩ ũndũ ũcio, rĩrĩa twaremirwo nĩgũkirĩrĩria-rĩ, nĩtuonire arĩ wega tũtigwo tũrĩ ithuiki kũu Athene.","Therefore when we couldn’t stand it any longer, we thought it good to be left behind at Athens alone,"
